,sy_dist
440,418.395
441,418.395
442,418.395
443,418.395
444,418.395
445,611.804
446,611.804
447,283.29
448,320.07
449,320.07
450,320.07
451,320.07
452,320.07
453,320.07
454,320.07
455,320.07
456,320.07
457,561.929
458,561.929
459,561.929
460,336.25
461,336.25
462,336.25
463,336.25
464,624.512
465,496.289
466,496.289
467,496.289
468,244.59
469,244.59
470,244.59
471,244.59
472,244.59
473,244.59
474,244.59
475,244.59
476,244.59
477,244.59
478,244.59
479,244.59
480,244.59
481,244.59
482,244.59
483,244.59
484,244.59
485,244.59
486,244.59
487,150.124
488,150.124
489,121.971
490,121.971
491,121.971
492,372.632
493,372.632
494,372.632
495,551.886
496,321.296
497,321.296
498,321.296
501,21.7912
502,16.009
503,16.009
504,27.9276
505,27.9276
506,27.9276
507,27.9276
508,4.84867
509,4.84867
510,3.67278
511,3.67278
512,3.67278
513,12.613
514,12.613
515,12.613
516,12.613
517,12.613
518,12.613
519,12.613
520,12.613
521,11.0143
522,11.0143
523,11.0143
524,11.0143
525,11.0143
526,8.03625
527,14.6427
528,14.6427
529,14.6427
530,14.6427
531,14.6427
532,14.6427
533,14.6427
534,14.6427
535,14.6427
536,14.6427
537,14.6427
538,14.6427
539,14.6427
540,14.6427
541,14.6427
542,14.6427
543,14.6427
544,14.6427
545,14.6427
546,20.373
547,20.373
548,20.373
549,20.373
550,20.373
551,20.373
552,10.2525
553,16.32
554,16.32
555,16.32
556,3.56228
557,3.56228
558,3.56228
559,3.56228
560,25.8557
561,15.1285
562,15.1285
563,15.1285
564,12.356
565,12.356
566,12.356
567,11.9407
568,11.9407
569,11.9407
570,11.9407
571,37.0788
572,37.0788
573,28.4434
574,5.75624
575,5.75624
576,5.75624
577,5.75624
578,5.75624
579,15.2142
580,15.2142
581,5.58057
582,23.6062
583,5.921535
584,5.921535
585,17.5559
586,16.6186
587,22.4751
588,22.4751
589,28.4712
590,28.4712
591,28.4712
592,15.1968
593,15.1968
594,15.1968
595,15.1968
596,15.1968
597,15.1968
598,15.1968
599,15.1968
600,18.23817
601,20.5266
602,20.5266
603,20.5266
604,20.1903
605,20.1903
606,20.1903
607,20.1903
608,20.1903
609,20.1903
610,5.37484
611,5.37484
612,23.619
613,6.33256
614,6.33256
615,29.4214
616,29.4214
617,29.4214
618,29.4214
619,29.4214
620,29.4214
621,29.4214
622,29.4214
623,29.4214
624,29.4214
625,29.4214
626,27.3644
627,27.3644
628,27.3644
629,9.48637
630,9.48637
631,9.48637
632,9.44181
633,9.44181
634,9.44181
635,9.44181
636,9.44181
637,9.44181
638,20.3779
639,9.41263
640,9.41263
641,9.41263
642,9.41263
643,9.41263
644,13.743
645,15.8095
646,15.8095
647,15.8095
648,15.8095
649,7.03149
650,16.9287
651,9.9105
652,18.1459
653,18.1459
654,5.675773
655,5.675773
656,5.675773
657,5.675773
658,11.8893
659,11.8893
660,11.8893
661,11.8893
662,12.6631
663,12.6631
664,21.3362
665,9.06456
666,9.06456
667,9.06456
668,9.06456
669,9.06456
670,9.06456
671,9.06456
672,9.75321
673,9.75321
674,9.75321
675,9.75321
676,9.75321
677,9.75321
678,9.75321
679,9.75321
680,9.75321
681,9.75321
682,9.75321
683,9.75321
684,9.75321
685,9.75321
686,9.75321
687,9.75321
688,9.75321
689,9.75321
690,9.75321
691,9.75321
692,9.75321
693,9.75321
694,18.3554
695,18.3554
696,18.3554
697,14.2358
698,8.07426
699,8.07426
700,8.07426
701,8.07426
702,17.5299
703,7.61778
704,10.4092
705,10.4092
706,6.2981
707,6.2981
708,6.2981
709,6.2981
710,6.2981
711,6.2981
712,6.2981
713,6.2981
714,6.2981
715,6.2981
716,6.2981
717,6.2981
718,6.2981
719,6.2981
720,6.2981
721,6.47249
722,10.3796
723,10.3796
724,10.3796
725,7.24396
726,7.24396
727,7.24396
728,7.24396
729,7.24396
730,7.24396
731,7.24396
732,7.24396
733,7.24396
734,7.24396
735,7.24396
736,7.24396
737,4.54896
738,16.0272
739,16.0272
740,16.0272
741,16.0272
742,16.0272
743,16.0272
744,16.0272
745,16.0272
746,16.0272
747,16.0272
748,16.0272
749,16.0272
750,16.0272
751,9.67315
752,5.00671
753,5.00671
754,14.3155
