,pl_orbper
441,2.289363
442,5.213965
443,5.21378
444,5.213
445,18.0983
446,18.0971
447,34.885
448,15.2841
449,15.2841
450,15.28078
451,23.226001
452,23.24110566
453,23.226
454,23.2259
455,23.228555
456,23.226
457,0.578657
458,11.81387
459,11.811437
460,13.603
461,13.603
462,13.60697954
463,65.55
464,0.762406
465,0.70531
466,0.705386
467,0.70531
468,0.571292
469,0.571308
470,0.571331
471,0.571299
472,0.571212
473,0.571292
474,0.571
475,0.571336
476,0.571285
477,0.571336
478,13.338687
479,13.334615
480,13.339746
481,13.33877
482,13.341245
483,13.339079
484,13.3397
485,13.3387
486,13.3397
487,0.728113
488,0.72813
489,16.140442
490,16.13655
491,16.141132
492,6.180235
493,6.1802679
494,6.1802675
495,3650.0
496,3.5951
497,15.624
498,35.747
502,2.30538
503,8.0518
504,5.745912
505,5.7459945
506,5.746007
507,5.7459996
508,10.3465
509,21.202
510,3.204
511,6.689
512,13.031
513,1.6289322
514,1.6289304
515,1.62892911
516,1.62893
517,1.6289287
518,1.628931
520,8.929
521,41.397
522,41.375
523,41.38
524,535.9
525,532.58
526,389.7
527,1.58040835
528,1.5804043
529,1.58040465
530,1.58040482
531,1.58040433
532,1.58040482
533,1.5804049
534,1.58040494
535,1.58040454
536,1.58040442
537,1.58040456
538,1.58040453
539,1.58040481
540,1.58040481
542,1.5803925
543,1.58040457
544,1.58040487
545,1.58040417
546,0.5182464
547,0.51824246
548,0.5182418
549,0.5182349
550,0.5182416
551,0.5182331
552,3.6511
553,35.6134391
554,35.589
555,35.61253
556,11.4407
557,11.4433
558,11.4432
559,7600.0
560,5.2354
561,8.63182
562,25.63058
563,603.95116
564,2288.0
565,2333.0
566,2303.0
567,17.133
568,17.38
569,24.329
570,106.3
571,2.38129
572,25533.11353
573,69.971
574,121.995
575,121.93268
576,471.0
577,579.47495
578,526.115
579,1.7447031
580,1.7446999
581,14.238
582,15.819
583,18.6498
584,4.7234
585,133.71
586,11.949
587,2.8531016
588,2.8531054
589,1.22003
590,5.974
591,257.8
592,695.36
593,692.9
594,692.0
595,695.66
596,10000.0
597,5312.0
598,6739.323
599,7500.0
600,10.66669
