,st_dens,st_logg
13627,4.0464,4.38
13628,0.7161,4.38
13630,0.6739,4.25
13634,4.0464,4.38
13636,0.7161,4.38
13643,3.0349,4.65
13645,3.7034,4.57
13646,3.391,4.56
13649,3.391,4.56
13650,3.391,4.56
13653,3.5702,4.73
13656,2.1811,4.51
13657,3.5702,4.73
13661,1.8458,4.71
13663,3.5702,4.73
13664,2.2527,4.56
13666,0.6629,4.56
13669,3.3469,4.56
13670,1.4918,4.5
13674,1.9561,4.5
13675,0.6629,4.56
13677,3.3469,4.56
13678,3.3469,4.56
13680,0.6629,4.56
13683,0.7135,4.27
13684,0.8761,4.39
13685,1.0027,4.25
13687,0.8761,4.39
13691,0.8761,4.39
13696,2.7738,4.5
13698,4.0758,4.5
13700,2.7738,4.5
13701,4.0758,4.5
13704,2.7738,4.5
13707,2.7645,4.56
13711,2.6337,4.6
13714,0.8784,4.41
13715,0.3508,4.43
13717,0.2995,4.0
13718,0.3369,4.41
13720,0.3369,4.41
13722,0.7903,4.43
13725,0.8784,4.41
13727,0.3369,4.41
13728,0.8784,4.41
13730,0.2225,4.43
13734,1.3465,4.38
13736,2.4717,4.57
13737,1.3465,4.38
13738,1.3465,4.38
13739,2.663,4.57
13742,2.1328,4.55
13748,2.3326,4.55
13752,2.8582,4.55
13755,2.8582,4.55
13757,2.8582,4.55
13760,3.0832,4.55
13761,2.9704,4.61
13765,2.9704,4.61
13766,2.7828,4.6
13769,3.1299,4.61
13772,2.9704,4.61
13779,3.474,4.3
13780,3.7566,4.39
13782,0.7532,4.27
13783,3.474,4.3
13784,3.474,4.3
13790,0.3869,4.37
13791,0.1808,4.18
13793,0.3527,4.06
13794,0.41,4.1
13795,0.3869,4.37
13796,0.3869,4.37
13797,0.3461,4.37
13802,0.4084,4.18
13803,0.3461,4.37
13807,0.3461,4.37
13812,1.8051,4.58
13813,1.8051,4.58
13814,1.5988,4.45
13816,1.809,4.58
13817,1.8051,4.58
13823,0.4755,3.98
13826,0.3473,4.09
13828,0.4755,3.98
13831,0.4755,3.98
13832,0.4705,3.98
13835,1.7397,4.53
13836,0.7777,4.22
13839,1.7397,4.53
13840,2.4556,4.6
13845,1.7397,4.53
13852,2.5218,4.58
13855,3.2202,4.56
13856,3.2202,4.56
13858,3.2202,4.56
13860,266.8603,4.56
13861,2.4272,4.55
13865,4.0506,4.51
13866,0.2654,3.97
13867,4.0506,4.51
13871,4.0506,4.51
13873,3.8914,4.15
13877,4.7098,4.54
13878,4.6046,4.55
13880,4.7098,4.54
13885,3.1807,4.67
13886,4.7098,4.54
13889,7.0605,4.57
13892,7.0605,4.57
13894,1.7305,4.5
13897,6.9256,4.43
13901,7.0605,4.57
13903,0.3416,4.44
13906,0.3416,4.44
13908,0.3776,4.06
13910,0.3416,4.44
13911,0.1982,4.43
13915,1.4592,4.42
13916,3.0211,4.73
13917,2.4261,4.73
13924,2.4261,4.73
13926,2.7893,4.73
13927,4.9685,4.73
13929,2.4261,4.73
13930,4.9685,4.73
13932,2.4165,4.73
13933,4.9685,4.73
13935,21.6335,4.48
13936,3.1368,4.65
13938,21.6335,4.48
13947,6.0253,4.48
13948,21.6335,4.48
13949,6.7738,4.39
13950,6.7738,4.39
13951,2.3782,4.39
13952,2.3782,4.39
13955,2.8135,4.47
13956,6.7738,4.39
13964,2.3782,4.39
13968,2.1467,4.54
13969,5.6551,4.47
13970,0.3556,4.42
13971,0.578,4.2
13976,0.6606,4.42
13979,0.6606,4.42
13980,0.6606,4.42
13985,6.336,4.32
13987,0.5072,4.3
13988,1.1581,4.32
13989,0.9425,4.3
13991,0.7447,4.29
13994,6.336,4.32
13996,6.336,4.32
13997,1.1581,4.32
13998,1.1581,4.32
14004,0.6669,4.23
14005,0.2608,4.52
14007,0.2608,4.52
14009,2.737,4.52
14011,0.2608,4.52
14014,0.4177,4.08
14022,0.4111,4.53
14023,1.0409,4.53
14024,1.0409,4.53
14025,1.0409,4.53
14026,0.8758,4.45
14030,0.8758,4.45
14031,1.4173,4.45
14032,0.6857,4.45
14035,0.8758,4.45
14039,0.6226,4.21
14048,19.8328,4.51
14052,19.8328,4.51
14054,11.2457,4.55
14062,12.8622,4.5
14063,12.8622,4.5
14067,0.7835,4.26
14069,12.8622,4.5
14070,13.2116,4.5
14073,4.9113,4.5
14075,4.9113,4.5
14078,4.9113,4.5
14079,1.0567,4.36
14081,0.5693,4.5
14086,0.439,4.11
14087,0.5832,4.41
14089,0.5832,4.41
14096,0.5765,4.42
14097,0.5832,4.41
14098,0.0298,4.34
14101,1.4247,4.38
14102,0.0298,4.34
14105,0.971,4.33
14106,0.0298,4.34
14111,1.3711,4.57
14113,1.3991,4.56
14115,1.3549,4.56
14116,1.3991,4.56
14117,1.3549,4.56
14120,1.3711,4.57
14125,1.3991,4.56
14129,1.3549,4.56
14130,1.3012,4.41
14133,2.133,4.59
14137,2.946,4.56
14138,2.133,4.59
14140,2.133,4.59
14144,2.8552,4.59
14146,2.2631,4.57
14149,1.7679,4.49
14150,4.3111,4.57
14152,2.2631,4.57
14155,2.2631,4.57
14157,2.6581,4.39
14158,4.3111,4.57
14161,1.6137,4.47
14162,2.3347,4.52
14163,2.3347,4.52
14164,2.3347,4.52
14173,2.3817,4.52
14176,1.6223,4.27
14178,1.6489,4.41
14180,0.4855,4.14
14184,1.6489,4.41
14186,1.6489,4.41
14188,9.0931,4.3
14196,9.0931,4.3
14197,9.0931,4.3
14198,6.6046,4.46
14199,3.5604,4.59
14205,6.9339,4.59
14206,2.4588,4.57
14208,6.9339,4.59
14209,6.9339,4.59
14217,1.6022,4.48
14218,5.3407,4.54
14219,5.3407,4.54
14223,5.3407,4.54
14224,0.6088,4.45
14225,7.7553,4.64
14228,7.7553,4.64
14231,2.4321,4.55
14233,11.5263,4.63
14241,7.7553,4.64
14245,3.8506,4.39
14246,3.8506,4.39
14247,3.8506,4.39
14251,1.9689,4.53
14252,4.6121,4.47
14260,0.6607,4.03
14265,0.5967,4.35
14266,0.5967,4.35
14267,0.5967,4.35
14269,0.0619,4.03
14270,0.4925,4.16
14271,0.5048,4.17
14272,0.3974,4.08
14274,0.5082,4.17
14276,0.5082,4.17
14279,0.5082,4.17
14287,0.499,4.17
14288,2.7796,4.7
14290,2.7756,4.7
14297,2.8288,4.7
14300,2.9047,4.7
14301,2.7756,4.7
14303,2.9047,4.7
14304,2.7756,4.7
14305,2.3891,4.54
14308,2.9047,4.7
14312,2.263,4.64
14313,2.4828,4.65
14314,2.167,4.51
14320,2.263,4.64
14321,2.263,4.64
14327,0.3132,4.41
14330,0.3132,4.41
14333,0.2695,4.41
14334,1.509,4.47
14336,0.3132,4.41
14338,0.8777,4.56
14340,1.8663,4.52
14342,0.0925,4.56
14343,0.8777,4.56
14347,0.8777,4.56
14353,3.3572,4.69
14355,3.3572,4.69
14357,3.3572,4.69
14360,2.815,4.69
14362,1.9744,4.47
14363,1.7392,4.4
14365,1.7544,4.4
14368,1.7392,4.4
14371,1.7392,4.4
14373,1.4962,4.46
14382,0.7595,4.38
14383,4.9894,4.38
14384,4.9894,4.38
14386,2.1864,4.54
14388,4.9894,4.38
14393,4.7099,4.54
14394,4.7099,4.54
14396,2.4427,4.55
14399,4.6757,4.54
14401,4.7099,4.54
14402,0.6793,4.46
14405,0.175,3.84
14410,0.6793,4.46
14412,0.8893,4.46
14413,0.6793,4.46
14417,2.6913,4.59
14419,19.9387,4.54
14420,5.0658,4.54
14422,19.9387,4.54
14425,4.207,4.54
14426,5.0744,4.54
14427,5.0658,4.54
14430,19.9387,4.54
14433,5.0658,4.54
14437,2.2035,4.24
14438,2.2035,4.24
14440,2.2035,4.24
14442,0.343,4.22
14444,0.8921,4.34
14448,9.3651,4.61
14452,9.3651,4.61
14453,0.7794,4.61
14458,9.3651,4.61
14459,4.0778,4.73
14461,0.7794,4.61
14464,0.6754,4.63
14466,2.3091,4.63
14467,0.7794,4.61
14471,4.6734,4.52
14473,3.0929,4.52
14475,1.5256,4.45
14477,3.0929,4.52
14478,3.0929,4.52
14482,0.1333,4.49
14484,0.1678,4.49
14487,2.5218,4.49
14488,0.9099,4.32
14491,0.1678,4.49
14492,2.5218,4.49
14495,0.1678,4.49
14498,0.4081,4.49
14501,0.5179,4.49
14502,1.1741,4.5
14503,1.1741,4.5
14506,1.1741,4.5
14508,1.1507,4.5
14510,0.9489,4.34
14516,0.084,4.37
14517,0.5599,4.19
14524,0.6102,4.45
14526,0.6102,4.45
14527,0.6102,4.45
14528,13.4976,4.48
14535,2.113,4.53
14536,12.5622,4.48
14537,13.4976,4.48
14538,13.4976,4.48
14542,5.0654,4.43
14544,5.6754,4.43
14547,1.7431,4.49
14549,5.6754,4.43
14552,5.6754,4.43
14555,1.0191,4.35
14559,1.5303,4.48
14560,1.6439,4.28
14562,1.5303,4.48
14564,1.5303,4.48
14567,3.3512,4.44
14568,3.3512,4.44
14574,1.2098,4.4
14575,3.7469,4.44
14576,3.3512,4.44
14581,0.2113,4.36
14585,0.1884,4.36
14588,0.2113,4.36
14589,0.2113,4.36
14591,0.4681,4.13
14593,0.0617,3.54
14598,0.7417,4.28
14601,0.7417,4.28
14603,0.7417,4.28
14605,0.6976,3.68
14607,0.8917,4.5
14609,0.9337,4.28
14610,0.0482,4.5
14611,0.7005,4.5
14614,0.9139,4.28
14616,0.8917,4.5
14618,2.1923,4.5
14619,0.7866,4.28
14622,0.8966,4.28
14623,0.7005,4.5
14628,0.7257,4.5
14629,1.0878,4.28
14630,0.7005,4.5
14631,0.7257,4.5
14632,0.0482,4.5
14633,0.8917,4.5
14636,0.7257,4.5
14638,2.1923,4.5
14645,2.1055,4.28
14646,0.0482,4.5
14647,2.1923,4.5
14654,2.8235,4.41
14656,2.8235,4.41
14657,1.6616,4.43
14659,2.8235,4.41
14660,1.5222,4.47
14665,1.0472,4.6
14666,1.0472,4.6
14668,1.0472,4.6
14670,1.6505,4.6
14673,5.1062,4.65
14674,5.1062,4.65
14682,5.1062,4.65
14684,4.4568,4.47
14685,2.8791,4.62
14688,1.8193,4.56
14689,0.2939,4.56
14692,1.8649,4.48
14697,1.8193,4.56
14698,1.8193,4.56
14701,1.0039,4.37
14702,1.8312,4.41
14704,1.8312,4.41
14705,1.8312,4.41
14711,1.847,4.34
14712,5.68,4.45
14718,5.68,4.45
14720,4.4517,3.75
14722,0.7756,4.29
14723,5.68,4.45
14725,0.5575,4.18
14729,0.4486,4.49
14732,0.4486,4.49
14733,0.4486,4.49
14737,0.0634,4.26
14739,5.9935,4.45
14741,5.9935,4.45
14743,5.9935,4.45
14746,6.2753,4.54
14748,2.0199,4.54
14751,2.9404,4.62
14754,4.0196,4.61
14757,4.0196,4.61
14761,4.0196,4.61
14762,4.1403,4.62
14764,3.4982,4.84
14766,5.21,4.81
14767,3.4982,4.84
14769,3.4982,4.84
14775,4.3516,4.68
14777,0.1131,4.79
14779,2.3238,4.37
14781,1.5651,4.37
14785,0.7509,4.29
14787,2.3238,4.37
14788,1.1404,4.27
14790,1.2826,4.27
14792,1.5651,4.37
14795,1.5651,4.37
14798,2.3599,4.27
14799,1.6558,4.37
14802,2.3238,4.37
14803,3.2006,4.37
14808,0.1192,4.37
14812,3.2006,4.37
14813,1.1448,4.38
14815,3.2006,4.37
14816,1.2428,4.51
14817,1.2428,4.51
14820,1.5564,4.51
14823,1.0327,4.35
14827,1.2762,4.29
14829,1.2428,4.51
14830,1.5564,4.51
14832,1.5564,4.51
14833,1.1995,4.29
14834,12.7346,4.41
14835,12.7346,4.41
14838,2.4598,4.58
14839,12.7346,4.41
14840,1.8739,4.41
14842,1.8739,4.41
14845,1.8739,4.41
14846,2.4631,4.51
14849,1.5484,4.51
14853,0.9175,4.38
14857,1.3243,4.38
14858,1.0729,4.38
14859,1.3243,4.38
14860,1.3243,4.38
14865,0.139,4.58
14866,1.7549,4.47
14870,0.139,4.58
14871,3.8067,4.61
14872,0.139,4.58
14880,1.9746,4.58
14882,1.9746,4.58
14887,1.9746,4.58
14888,1.3673,4.42
14889,2.0125,4.57
14892,4.1998,4.6
14897,6.0153,4.62
14898,4.1998,4.6
14899,4.1998,4.6
14900,2.5052,4.59
14906,4.0196,4.54
14911,4.0196,4.54
14912,4.0323,4.54
14913,4.0196,4.54
14917,1.4997,4.44
14919,0.433,4.13
14920,0.7331,4.38
14921,0.7331,4.38
14923,0.0858,4.22
14931,0.7331,4.38
14932,0.7426,4.42
14935,0.6011,4.42
14938,0.485,4.41
14939,0.485,4.41
14941,0.8071,4.41
14942,0.485,4.41
14946,0.361,4.05
14947,0.4462,4.66
14949,2.2373,4.66
14951,0.4462,4.66
14954,0.0746,4.66
14956,1.9895,4.66
14957,2.2373,4.66
14962,0.0376,4.66
14963,1.9895,4.66
14964,1.9895,4.66
14965,0.2248,4.66
14966,0.4462,4.66
14970,3.2866,4.66
14971,2.2373,4.66
14975,3.3523,4.33
14977,3.7979,4.42
14980,3.7979,4.42
14983,3.7979,4.42
14985,0.5347,4.16
14986,2.1413,4.54
14987,1.4792,4.56
14988,1.4792,4.56
14991,1.4792,4.56
14995,0.5582,4.57
14999,4.072,4.48
15000,0.2548,4.48
15003,4.072,4.48
15010,4.072,4.48
15011,2.3414,4.55
15012,1.5617,4.49
15013,1.5617,4.49
15014,2.3053,4.49
15016,2.166,4.4
15021,2.3315,4.58
15023,1.5617,4.49
15024,2.3053,4.49
15025,1.4105,4.4
15031,0.8911,4.15
15035,0.8911,4.15
15036,0.1178,3.76
15039,0.8391,3.96
15041,0.8911,4.15
15043,0.9052,4.42
15045,3.0594,4.42
15048,0.5901,4.42
15049,4.0509,4.42
15050,4.0509,4.42
15053,3.0594,4.42
15056,3.0594,4.42
15057,4.0509,4.42
15066,0.7238,4.62
15069,0.1148,4.62
15070,0.7238,4.62
15071,0.7238,4.62
15072,2.6598,4.57
15073,3.6446,4.56
15074,2.6382,4.61
15075,7.4309,4.56
15076,7.4309,4.56
15078,7.4309,4.56
15086,0.4047,4.31
15087,0.4047,4.31
15090,0.9078,4.4
15092,0.4047,4.31
15100,0.6751,4.49
15101,0.7647,4.49
15102,0.4651,4.13
15104,0.6751,4.49
15106,0.6751,4.49
15111,7.4189,4.74
15114,3.7704,4.74
15116,3.7704,4.74
15118,7.4189,4.74
15119,6.8905,4.75
15123,3.7704,4.74
15126,7.4189,4.74
15127,3.6044,4.75
15134,4.6823,4.7
15135,7.2154,4.43
15138,0.4003,4.07
15143,7.2154,4.43
15145,8.0876,4.43
15146,7.2154,4.43
15149,1.8664,4.52
15150,6.653,4.53
15151,0.1941,4.53
15156,6.653,4.53
15159,6.653,4.53
15161,1.5222,4.48
15166,1.9238,4.53
15167,1.5222,4.48
15168,1.5222,4.48
15172,0.1825,4.48
15176,2.6436,4.2
15179,1.8147,4.35
15180,0.3891,4.07
15184,1.8147,4.35
15185,1.8147,4.35
15187,3.4303,4.52
15189,4.5536,4.58
15192,4.5536,4.58
15195,3.3187,4.52
15197,4.3695,4.58
15199,3.0375,4.63
15200,3.3219,4.58
15201,4.5536,4.58
15204,3.3219,4.58
15205,4.3695,4.58
15206,1.8951,4.52
15207,3.3219,4.58
15209,4.3695,4.58
15211,0.6158,4.21
15213,0.5397,4.49
15218,0.5857,4.07
15220,0.5397,4.49
15222,0.5397,4.49
15224,0.5783,4.28
15228,0.5783,4.28
15229,0.5783,4.28
15232,0.505,4.16
15234,0.4894,4.2
15241,1.4236,4.53
15242,1.3626,4.42
15243,1.5712,4.53
15246,1.5712,4.53
15247,1.5712,4.53
15255,1.1738,4.51
15256,1.1738,4.51
15257,1.0382,4.35
15260,1.1738,4.51
15261,1.145,4.05
15263,1.8221,4.49
15265,4.3044,4.58
15267,4.3044,4.58
15268,0.8347,4.6
15270,4.3044,4.58
15276,0.7193,4.25
15280,0.8267,4.24
15281,0.3236,4.25
15285,0.7193,4.25
15286,0.3236,4.25
15287,0.4062,4.25
15288,0.5566,4.2
15290,0.4062,4.25
15292,0.4062,4.25
15296,0.3236,4.25
15298,0.4286,4.24
15299,0.7193,4.25
15302,0.6592,4.24
15304,0.2371,3.93
15305,0.1334,4.47
15306,0.1334,4.47
15307,0.1334,4.47
15310,0.1719,4.15
15316,7.2648,4.56
15317,2.4354,4.56
15320,7.2648,4.56
15323,1.285,4.52
15327,7.2648,4.56
15329,3.1147,4.41
15330,1.8649,4.52
15331,3.037,4.42
15332,3.1147,4.41
15334,3.1147,4.41
15342,0.8502,4.58
15343,2.6078,4.6
15347,0.8502,4.58
15349,0.8502,4.58
15354,2.4532,4.49
15355,1.5872,4.47
15356,3.4107,4.44
15361,3.4107,4.44
15364,3.4107,4.44
15365,0.2269,4.54
15368,4.2701,4.56
15371,4.2701,4.56
15375,3.0134,4.61
15377,4.2701,4.56
15378,0.425,4.56
15381,0.4986,4.5
15383,0.3679,4.6
15386,0.3679,4.6
15389,7.3561,4.6
15391,0.7381,4.5
15395,7.3561,4.6
15398,3.0984,4.64
15399,7.3561,4.6
15400,0.3679,4.6
15401,1.53,4.55
15404,2.9421,4.55
15406,1.0931,4.36
15407,0.6632,4.34
15408,1.53,4.55
15409,0.2905,4.34
15415,1.53,4.55
15417,0.9146,4.17
15418,0.9334,4.36
15422,0.9334,4.36
15428,0.5135,4.16
15429,0.9334,4.36
15432,0.843,4.37
15435,0.843,4.37
15437,0.843,4.37
15439,0.2624,3.96
15440,0.1195,4.08
15445,1.2237,4.26
15446,1.5839,4.26
15447,2.2527,4.26
15448,0.7302,4.26
15449,2.2527,4.26
15450,1.2128,4.26
15453,1.2237,4.26
15454,0.7302,4.26
15459,0.5272,4.17
15463,2.2527,4.26
15464,0.7302,4.26
15465,0.4812,4.26
15470,1.2237,4.26
15474,0.0439,3.36
15475,0.0097,3.63
15477,0.0097,3.63
15481,0.1113,3.63
15489,0.0097,3.63
15490,0.182,4.26
15491,2.2273,4.45
15493,0.98,4.45
15496,2.2273,4.45
15497,0.98,4.45
15499,0.9926,4.35
15502,0.0951,4.26
15506,2.2273,4.45
15507,0.98,4.45
15510,0.4231,4.1
15518,0.6192,4.35
15519,0.6192,4.35
15520,0.6192,4.35
15521,0.4149,4.35
15523,2.6866,4.62
15527,2.7431,4.51
15529,2.3239,4.51
15532,2.3239,4.51
15534,2.3239,4.51
15536,0.1211,3.74
15537,0.2811,3.92
15540,0.2811,3.92
15541,0.0825,3.92
15545,0.2811,3.92
15547,0.2096,3.93
15550,3.3691,4.29
15551,3.1737,4.4
15555,0.7105,4.26
15559,3.1737,4.4
15562,3.1737,4.4
15564,1.3036,4.44
15565,0.9143,4.32
15566,0.4952,4.37
15567,0.4952,4.37
15573,0.4952,4.37
15578,1.5726,4.56
15579,2.4074,4.46
15581,2.3546,4.59
15582,1.5726,4.56
15583,1.5726,4.56
15589,0.5703,4.19
15594,1.3134,4.54
15595,1.4902,4.54
15597,1.4902,4.54
15601,1.4902,4.54
15605,0.2658,4.36
15606,0.2658,4.36
15609,0.67,4.36
15610,0.2658,4.36
15612,0.1902,3.87
15613,0.5213,4.36
15615,0.4924,4.36
15618,0.5213,4.36
15630,1.5919,4.06
15631,1.6007,4.06
15632,1.7453,4.07
15637,0.7243,4.07
15638,1.7453,4.07
15639,0.7243,4.07
15640,1.7453,4.07
15643,0.3018,4.01
15644,0.7243,4.07
15646,0.4628,4.36
15647,0.4628,4.36
15649,0.183,3.86
15651,0.454,3.59
15652,0.2451,3.59
15653,0.4628,4.36
15658,0.8135,4.36
15662,4.6759,4.56
15664,2.4425,4.56
15669,2.4425,4.56
15670,2.4425,4.56
15672,1.7731,4.5
15673,21.487,4.5
15679,3.0105,4.47
15680,2.8485,4.5
15682,21.487,4.5
15684,2.8485,4.5
15686,2.8485,4.5
15690,0.1246,4.54
15693,0.1246,4.54
15695,0.1276,4.54
15697,0.0938,3.67
15698,0.1246,4.54
15703,2.9395,4.58
15707,1.7722,4.47
15709,4.4601,4.58
15711,4.4601,4.58
15714,4.4601,4.58
15716,0.4732,4.07
15717,0.5461,4.3
15720,0.4732,4.07
15721,0.3908,4.08
15724,0.4732,4.07
15725,0.6864,4.3
15730,0.9837,4.35
15733,0.9837,4.35
15735,0.9837,4.35
15737,0.8747,4.3
15738,0.4923,4.35
15744,4.8309,4.51
15746,4.8309,4.51
15747,1.8287,4.52
15751,4.8309,4.51
15752,4.7902,4.38
15759,0.3558,3.9
15760,0.4463,3.9
15762,0.3558,3.9
15763,0.3558,3.9
15767,1.9047,4.55
15769,0.8083,4.28
15770,1.9047,4.55
15772,1.9607,4.07
15773,1.9047,4.55
15778,0.2704,3.96
15782,0.6063,4.08
15784,0.3468,4.08
15785,0.6063,4.08
15787,0.3468,4.08
15792,0.3468,4.08
15795,0.6063,4.08
15798,0.3593,4.07
15799,0.602,4.07
15801,1.5705,4.49
15802,1.3634,4.49
15804,1.5705,4.49
15806,0.9547,4.33
15809,1.5705,4.49
15815,1.3207,4.6
15817,1.4563,4.6
15818,2.8091,4.61
15820,1.4563,4.6
15823,1.4563,4.6
15830,1.3132,4.41
15831,2.6652,4.5
15832,2.3761,4.5
15833,2.3761,4.5
15838,2.3761,4.5
15840,0.6392,4.34
15842,0.5485,4.38
15843,0.7387,4.38
15848,0.6982,4.34
15849,0.3476,4.06
15850,0.7387,4.38
15854,0.7387,4.38
15857,9.7274,4.51
15863,9.7883,4.33
15864,9.7274,4.51
15865,0.3322,4.02
15867,9.7274,4.51
15869,4.1898,4.56
15871,4.1898,4.56
15873,4.1898,4.56
15878,1.8315,4.5
15880,3.8116,4.57
15881,0.0564,3.74
15884,0.5853,4.37
15885,0.5853,4.37
15886,0.5853,4.37
15887,0.1514,3.78
15896,0.5458,4.4
15900,0.5458,4.4
15901,0.5466,4.17
15903,0.5458,4.4
15906,0.4296,4.19
15908,0.3403,4.17
15909,0.3442,4.0
15911,0.1172,3.74
15913,0.3403,4.17
15918,0.3403,4.17
15920,0.3806,4.6
15922,1.3354,4.41
15924,0.4483,4.6
15926,0.4483,4.6
15927,0.4483,4.6
15937,0.6741,4.3
15938,127.6858,4.3
15941,1.8558,4.3
15943,0.7331,4.3
15946,1.1965,4.3
15947,1.1965,4.3
15949,1.8558,4.3
15950,0.87,4.29
15952,127.6858,4.3
15953,1.3633,4.3
15954,1.8558,4.3
15955,127.6858,4.3
15957,1.1965,4.3
15959,0.9379,4.33
15967,0.4958,4.22
15968,0.4958,4.22
15970,0.0438,3.85
15973,0.4958,4.22
15975,0.2504,3.96
15977,9.6612,4.59
15980,9.6612,4.59
15982,9.6612,4.59
15983,8.941,4.59
15987,1.9343,4.51
15991,13.162,4.49
15993,13.162,4.49
15995,1.1887,4.49
15998,2.7663,4.61
16000,13.162,4.49
16001,2.5964,4.53
16003,1.3004,4.42
16005,2.5662,4.53
16012,2.5662,4.53
16013,2.5662,4.53
16015,0.034,4.49
16016,0.034,4.49
16020,0.034,4.49
16022,0.0216,4.31
16029,0.2845,4.53
16033,0.8737,4.3
16034,0.6637,4.53
16037,0.6637,4.53
16038,0.6637,4.53
16043,14.8659,4.54
16046,1.2791,4.41
16047,14.2845,4.44
16048,14.8659,4.54
16049,14.8659,4.54
16053,2.3779,4.41
16054,2.3779,4.41
16059,2.3706,4.59
16060,2.3779,4.41
16065,2.4923,4.41
16069,6.0717,4.75
16070,13.7994,4.91
16072,13.7994,4.91
16073,13.7994,4.91
16077,1.8607,4.84
16079,7.9574,4.53
16080,7.9574,4.53
16082,0.8365,4.53
16084,7.9574,4.53
16093,1.44,4.42
16094,3.567,4.41
16095,1.3227,4.42
16098,6.0173,4.5
16100,29.1149,4.41
16103,6.0173,4.5
16105,6.0173,4.5
16108,1.1294,4.5
16109,1.7648,4.41
16110,1.1294,4.5
16111,1.1294,4.5
16113,3.6859,4.59
16116,2.2551,4.57
16118,3.1897,4.49
16119,3.6859,4.59
16122,3.6859,4.59
16127,0.4416,4.25
16128,0.3623,4.25
16129,0.3121,4.25
16132,0.3623,4.25
16133,0.3623,4.25
16136,0.2769,4.0
16139,0.4416,4.25
16142,0.4416,4.25
16143,0.3505,4.0
16144,0.2666,3.96
16145,0.3121,4.25
16146,0.3121,4.25
16148,0.3607,4.0
16149,3.9048,4.58
16152,4.3825,4.58
16153,3.9048,4.58
16154,3.9048,4.58
16155,1.9618,4.52
16158,4.3825,4.58
16159,2.297,4.52
16162,1.6438,4.48
16163,4.3825,4.58
16168,0.7437,4.54
16169,10.79,3.92
16171,6.5333,4.54
16174,10.79,3.92
16175,10.79,3.92
16176,2.5662,4.6
16179,38.984,4.66
16180,38.1066,4.66
16184,18.5341,4.97
16185,38.1066,4.66
16186,38.1066,4.66
16187,9.536,4.48
16188,9.536,4.48
16190,2.7321,4.59
16191,2.4977,4.48
16193,1.0538,4.48
16194,2.4977,4.48
16195,3.7738,4.48
16200,9.536,4.48
16202,2.4977,4.48
16204,0.2529,4.55
16207,0.2529,4.55
16209,0.9739,4.35
16210,0.2561,4.3
16213,0.2529,4.55
16217,2.902,4.59
16218,2.235,4.55
16220,2.9284,4.58
16224,2.9284,4.58
16225,2.9284,4.58
16227,4.3096,4.65
16228,4.3096,4.65
16230,4.3096,4.65
16231,2.8072,4.59
16234,4.2967,4.65
16239,2.5215,4.88
16240,5.6128,4.74
16243,36.7621,5.01
16246,36.7621,5.01
16248,36.7621,5.01
16251,1.0301,4.36
16254,0.4964,4.36
16258,0.4139,4.32
16260,10.7147,4.36
16261,10.7147,4.36
16262,1.0301,4.36
16265,1.0301,4.36
16267,10.7147,4.36
16268,0.4964,4.36
16269,0.11,4.32
16271,6.0938,4.36
16272,0.4964,4.36
16273,4.5801,4.32
16275,6.0938,4.36
16280,6.0938,4.36
16281,0.2021,4.32
16283,3.1212,4.62
16287,4.7682,4.6
16289,4.7682,4.6
16291,4.7682,4.6
16292,6.3299,4.63
16294,4.1752,4.61
16295,2.4602,4.61
16296,4.1752,4.61
16297,2.4602,4.61
16298,2.4602,4.61
16299,2.035,4.48
16302,1.5431,4.61
16304,4.1752,4.61
16309,2.475,4.74
16310,1.5431,4.61
16313,1.5431,4.61
16314,4.2315,4.74
16315,3.7709,4.74
16321,1.5048,4.58
16322,9.9534,4.57
16323,1.743,4.57
16324,0.6616,4.58
16326,9.9534,4.57
16327,9.9534,4.57
16328,1.743,4.57
16330,1.743,4.57
16332,1.2928,4.4
16333,1.2917,4.25
16337,1.2917,4.25
16339,1.5482,4.17
16340,0.7577,4.28
16341,1.2917,4.25
16346,3.1227,4.51
16347,3.8875,4.51
16348,3.1227,4.51
16349,13.6908,4.51
16352,13.6908,4.51
16354,2.5699,4.56
16356,13.6908,4.51
16358,2.6182,4.51
16360,0.2356,4.54
16361,1.5684,4.46
16363,0.2356,4.54
16367,0.2356,4.54
16369,0.1148,4.35
16371,0.856,4.26
16373,0.856,4.26
16374,0.3625,3.78
16377,0.856,4.26
16378,0.8336,4.34
16385,0.2585,4.34
16387,0.4615,4.34
16388,0.4615,4.34
16389,1.1995,4.39
16390,0.4615,4.34
16391,0.92,4.52
16394,0.92,4.52
16396,0.5636,4.17
16399,0.92,4.52
16401,0.8868,4.2
16402,0.6288,4.62
16404,4.9409,4.62
16406,3.0463,4.61
16410,4.9409,4.62
16411,4.9409,4.62
16416,0.2848,4.09
16417,0.3661,4.14
16421,0.7333,4.14
16424,0.3348,4.02
16426,5.1427,4.09
16429,5.1427,4.09
16431,0.2848,4.09
16432,0.2848,4.09
16433,5.1427,4.09
16437,0.6932,4.5
16440,1.5411,4.26
16441,1.6627,4.5
16443,0.6932,4.5
16444,0.6932,4.5
16445,1.6627,4.5
16446,0.2253,3.9
16449,1.4745,4.26
16451,1.6627,4.5
16453,8.983,4.63
16455,7.0879,4.63
16456,8.983,4.63
16457,3.3095,4.63
16460,8.983,4.63
16463,1.7305,4.49
16464,13.1631,4.57
