,st_dens,st_logg
1564,4.1199,4.67
1567,3.7761,4.65
1573,3.6484,4.65
1575,3.76,4.65
1577,3.97,4.7
1581,0.6203,4.27
1583,0.6702,4.32
1591,1.3207,4.37
1596,6.8953,4.78
1598,1.4714,4.44
1602,1.1171,4.37
1611,4.445,4.69
1621,22.7322,5.01
1623,4.7997,4.7
1626,7.1455,4.79
1636,17.55,4.96
1637,13.5,5.21
1638,17.4566,4.96
1646,1.089,4.38
1647,0.9701,4.35
1649,0.82,4.47
1650,0.563,4.2
1652,1.161,4.4
1654,0.908,4.36
1657,3.6935,4.59
1660,2.4744,4.56
1662,3.7001,4.59
1664,2.42,4.15
1668,2.73,4.37
1669,3.7001,4.59
1670,3.402,4.66
1676,3.7001,4.59
1680,2.9952,4.61
1685,3.1087,4.61
1696,0.2356,3.92
1699,0.5476,4.22
1700,0.496,4.19
1709,0.523,4.1
1711,0.62,4.25
1712,1.9777,4.54
1714,1.14,4.38
1719,1.104,4.4
1720,0.8569,4.32
1725,2.7756,4.58
1735,2.1987,4.55
1737,2.08,4.53
1738,1.46,4.45
1741,2.94,4.61
1745,2.6881,4.59
1751,2.468,4.57
1752,2.3256,4.56
1754,0.55,4.16
1763,0.618,4.2
1764,0.3676,4.09
1768,0.378,4.09
1771,2.27,4.32
1773,3.2982,4.64
1777,2.36,4.52
1780,1.0,4.33
1781,0.7115,4.24
1788,3.8574,4.65
1790,1.1595,4.37
1792,1.1011,4.36
1795,1.16,4.36
1798,1.204,4.41
1800,0.92,4.33
1805,0.976,4.28
1806,0.9947,4.35
1814,0.74,4.27
1815,0.617,4.23
1820,1.84,4.52
1821,1.872,4.52
1824,1.69,4.31
1827,1.8766,4.5
1829,2.37,4.56
1831,1.9976,4.53
1833,1.32,4.48
1841,1.2437,4.4
1848,0.93,4.34
1849,0.89,4.33
1850,0.8633,4.32
1855,2.28,4.56
1859,16.0483,4.95
1861,1.923,4.51
1863,2.13,4.54
1864,2.53,4.59
1866,2.2614,4.56
1867,2.67,4.56
1868,0.7,4.52
1869,0.744,4.28
1872,0.98,4.36
1875,0.7347,4.28
1882,0.69,4.26
1884,0.5149,4.17
1888,0.91,4.33
1890,0.625,4.22
1891,0.8781,4.33
1903,0.45,4.15
1908,0.4243,4.14
1910,1.15,4.21
1912,0.505,4.24
1917,0.4871,4.17
1919,0.42,4.4
1920,5.4828,4.73
1922,0.59,4.21
1925,0.6662,4.24
1929,1.089,4.37
1932,1.1,4.37
1934,1.1193,4.37
1936,1.29,4.42
1938,2.0741,4.54
1941,1.87,4.51
1943,1.2078,4.37
1954,0.3495,4.07
1957,0.31,4.17
1959,0.3795,4.07
1960,0.6383,4.22
1962,0.437,4.13
1969,0.2,3.93
1972,0.1743,3.85
1975,0.4143,4.12
1982,0.452,4.39
1983,0.42,4.14
1985,0.5284,4.16
1995,1.0519,4.35
1997,1.0999,4.34
2004,0.4573,4.11
2006,0.9153,4.4
2012,0.36,4.1
2013,0.2846,4.04
2021,1.04,4.37
2022,1.0281,4.35
2027,0.357,4.07
2029,0.3406,4.06
2031,1.312,4.41
2033,1.223,4.39
2034,1.38,4.43
2037,1.75,4.48
2041,1.884,4.5
2046,0.87,4.31
2048,1.196,4.41
2049,2.0831,4.49
2061,1.073,4.36
2063,1.2293,4.41
2067,0.63,3.39
2069,0.627,4.24
2074,0.6178,4.25
2076,0.62,4.25
2077,0.6002,4.25
2081,0.615,4.25
2082,0.405,4.08
2083,0.3975,4.07
2085,0.9013,4.31
2087,1.059,4.36
2089,0.59,4.22
2092,0.37,4.69
2095,0.521,4.19
2099,0.5429,4.22
2101,0.1699,3.86
2102,0.1909,3.91
2103,1.715,4.5
2104,1.2469,4.4
2106,0.901,4.31
2108,0.731,4.25
2109,1.448,4.43
2110,1.0641,4.33
2112,0.3145,4.03
2114,0.35,4.07
2115,0.397,4.11
2118,0.327,4.03
2119,0.266,3.98
2122,0.269,3.99
2123,0.2198,3.92
2126,0.0981,3.7
2128,4.2382,4.67
2129,1.8548,4.46
2131,3.165,4.62
2136,0.3645,4.13
2138,0.4059,4.02
2146,0.4059,4.02
2149,0.4059,4.02
2150,0.3794,4.02
2151,0.285,4.04
2153,0.2,4.09
2154,0.27,4.07
2159,0.2397,3.97
2163,0.4036,4.19
2167,0.46,4.15
2174,0.6181,4.24
2176,0.37,4.8
2178,0.755,4.29
2182,0.752,4.29
2183,0.7638,4.29
2186,2.1853,4.59
2191,0.8068,4.29
2193,1.15,4.39
2197,0.479,4.19
2198,0.4782,4.13
2199,0.471,4.12
2203,0.269,4.36
2206,0.196,3.92
2210,2.5214,4.6
2211,1.93,4.52
2216,1.682,4.48
2217,1.3725,4.42
2219,0.2883,3.96
2220,1.57,4.45
2221,0.72,4.24
2222,0.9032,4.32
2225,0.6431,4.22
2226,1.22,4.42
2231,1.37,4.44
2233,1.3555,4.43
2236,1.4392,4.42
2238,1.346,4.51
2241,2.1382,4.52
2242,3.28,4.64
2244,1.2544,4.41
2247,0.91,4.33
2252,1.059,4.38
2253,1.1007,4.39
2255,1.0377,4.35
2257,1.03,4.35
2260,0.218,3.94
2261,0.2346,3.94
2262,0.4188,4.14
