,st_metratio
10723,[M/H]
10724,[Fe/H]
10725,[Fe/H]
10726,[Fe/H]
10727,[Fe/H]
10729,[Fe/H]
10731,[Fe/H]
10732,[Fe/H]
10734,[Fe/H]
10735,[Fe/H]
10736,[Fe/H]
10740,[Fe/H]
10745,[M/H]
10746,[Fe/H]
10748,[Fe/H]
10751,[Fe/H]
10752,[Fe/H]
10753,[M/H]
10755,[Fe/H]
10756,[Fe/H]
10758,[Fe/H]
10759,[Fe/H]
10760,[Fe/H]
10761,[Fe/H]
10763,[Fe/H]
10765,[Fe/H]
10767,[Fe/H]
10768,[Fe/H]
10770,[Fe/H]
10773,[Fe/H]
10774,[Fe/H]
10775,[Fe/H]
10776,[M/H]
10781,[Fe/H]
10784,[Fe/H]
10785,[Fe/H]
10788,[Fe/H]
10791,[Fe/H]
10792,[Fe/H]
10793,[Fe/H]
10794,[Fe/H]
10795,[Fe/H]
10796,[Fe/H]
10800,[Fe/H]
10801,[Fe/H]
10802,[Fe/H]
10803,[Fe/H]
10806,[Fe/H]
10809,[Fe/H]
10810,[M/H]
10811,[Fe/H]
10818,[M/H]
10826,[Fe/H]
10828,[Fe/H]
10830,[Fe/H]
10831,[Fe/H]
10832,[Fe/H]
10834,[Fe/H]
10836,[Fe/H]
10838,[Fe/H]
10841,[Fe/H]
10842,[Fe/H]
10843,[Fe/H]
10844,[Fe/H]
10845,[Fe/H]
10846,[Fe/H]
10847,[Fe/H]
10849,[M/H]
10850,[Fe/H]
10851,[Fe/H]
10855,[Fe/H]
10857,[Fe/H]
10860,[Fe/H]
10861,[Fe/H]
10862,[Fe/H]
10864,[Fe/H]
10866,[Fe/H]
10868,[Fe/H]
10870,[Fe/H]
10872,[M/H]
10876,[Fe/H]
10877,[Fe/H]
10878,[Fe/H]
10880,[Fe/H]
10881,[Fe/H]
10883,[Fe/H]
10885,[Fe/H]
10886,[Fe/H]
10887,[Fe/H]
10889,[M/H]
10890,[Fe/H]
10894,[Fe/H]
10895,[Fe/H]
10896,[Fe/H]
10899,[Fe/H]
10900,[Fe/H]
10903,[Fe/H]
10904,[Fe/H]
10906,[Fe/H]
10909,[Fe/H]
10912,[Fe/H]
10913,[Fe/H]
10915,[Fe/H]
10917,[Fe/H]
10920,[Fe/H]
10921,[Fe/H]
10924,[Fe/H]
10927,[M/H]
10928,[Fe/H]
10929,[Fe/H]
10930,[Fe/H]
10931,[Fe/H]
10934,[Fe/H]
10935,[Fe/H]
10939,[Fe/H]
10940,[Fe/H]
10941,[Fe/H]
10946,[Fe/H]
10947,[Fe/H]
10948,[Fe/H]
10951,[Fe/H]
10953,[M/H]
10954,[Fe/H]
10955,[Fe/H]
10959,[Fe/H]
10960,[Fe/H]
10961,[Fe/H]
10964,[Fe/H]
10966,[M/H]
10967,[Fe/H]
10968,[Fe/H]
10970,[Fe/H]
10975,[Fe/H]
10976,[Fe/H]
10978,[Fe/H]
10980,[Fe/H]
10981,[Fe/H]
10982,[Fe/H]
10983,[Fe/H]
10984,[Fe/H]
10985,[Fe/H]
10986,[Fe/H]
10987,[Fe/H]
10988,[Fe/H]
10989,[Fe/H]
10992,[Fe/H]
10995,[M/H]
10997,[Fe/H]
11001,[Fe/H]
11002,[M/H]
11003,[Fe/H]
11004,[Fe/H]
11005,[Fe/H]
11007,[Fe/H]
11011,[Fe/H]
11013,[Fe/H]
11016,[Fe/H]
11017,[Fe/H]
11018,[Fe/H]
11022,[Fe/H]
11024,[Fe/H]
11025,[Fe/H]
11026,[Fe/H]
11028,[Fe/H]
11030,[Fe/H]
11032,[Fe/H]
11033,[M/H]
11034,[Fe/H]
11035,[Fe/H]
11036,[Fe/H]
11037,[Fe/H]
11044,[Fe/H]
11050,[Fe/H]
11051,[Fe/H]
11052,[Fe/H]
11054,[Fe/H]
11055,[Fe/H]
11057,[Fe/H]
11060,[Fe/H]
11064,[Fe/H]
11065,[Fe/H]
11066,[Fe/H]
11067,[Fe/H]
11068,[Fe/H]
11069,[Fe/H]
11074,[Fe/H]
11075,[Fe/H]
11077,[Fe/H]
11080,[Fe/H]
11082,[M/H]
11085,[Fe/H]
11086,[Fe/H]
11087,[Fe/H]
11089,[Fe/H]
11095,[Fe/H]
11096,[Fe/H]
11097,[Fe/H]
11098,[Fe/H]
11103,[Fe/H]
11104,[Fe/H]
11105,[Fe/H]
11106,[Fe/H]
11109,[Fe/H]
11111,[Fe/H]
11113,[Fe/H]
11114,[Fe/H]
11115,[Fe/H]
11117,[Fe/H]
11119,[Fe/H]
11121,[Fe/H]
11122,[Fe/H]
11124,[M/H]
11127,[Fe/H]
11128,[Fe/H]
11129,[Fe/H]
11131,[Fe/H]
11134,[Fe/H]
11136,[Fe/H]
11138,[M/H]
11144,[Fe/H]
11145,[Fe/H]
11147,[Fe/H]
11148,[Fe/H]
11149,[Fe/H]
11151,[Fe/H]
11152,[Fe/H]
11155,[Fe/H]
11158,[Fe/H]
11159,[Fe/H]
11162,[Fe/H]
11165,[Fe/H]
11166,[Fe/H]
11167,[Fe/H]
11171,[Fe/H]
11173,[Fe/H]
11174,[Fe/H]
11175,[Fe/H]
11176,[Fe/H]
11180,[Fe/H]
11181,[Fe/H]
11182,[Fe/H]
11184,[Fe/H]
11187,[Fe/H]
11191,[Fe/H]
11192,[M/H]
11195,[Fe/H]
11198,[Fe/H]
11201,[Fe/H]
11202,[Fe/H]
11203,[Fe/H]
11205,[Fe/H]
11206,[Fe/H]
11208,[Fe/H]
11209,[Fe/H]
11210,[Fe/H]
11214,[Fe/H]
11216,[Fe/H]
11218,[Fe/H]
11219,[Fe/H]
11222,[Fe/H]
11223,[Fe/H]
11225,[Fe/H]
11228,[Fe/H]
11229,[Fe/H]
11230,[Fe/H]
11232,[Fe/H]
11233,[Fe/H]
11234,[Fe/H]
11235,[Fe/H]
11238,[Fe/H]
11240,[Fe/H]
11241,[M/H]
11242,[Fe/H]
11243,[Fe/H]
11245,[Fe/H]
11247,[Fe/H]
11248,[Fe/H]
11250,[M/H]
11252,[Fe/H]
11255,[Fe/H]
11256,[Fe/H]
11262,[Fe/H]
11263,[Fe/H]
11265,[Fe/H]
11266,[Fe/H]
11270,[Fe/H]
11272,[Fe/H]
11275,[Fe/H]
11278,[Fe/H]
11282,[Fe/H]
11285,[Fe/H]
11287,[Fe/H]
11290,[Fe/H]
11292,[Fe/H]
11294,[Fe/H]
11295,[Fe/H]
11298,[Fe/H]
11299,[Fe/H]
11302,[Fe/H]
11307,[Fe/H]
11308,[Fe/H]
11309,[Fe/H]
11311,[Fe/H]
11313,[Fe/H]
11314,[Fe/H]
11316,[M/H]
11317,[Fe/H]
11318,[Fe/H]
11319,[Fe/H]
11320,[Fe/H]
11322,[Fe/H]
11324,[M/H]
11327,[Fe/H]
11329,[Fe/H]
11331,[Fe/H]
11334,[Fe/H]
11336,[Fe/H]
11339,[Fe/H]
11340,[Fe/H]
11342,[Fe/H]
11343,[Fe/H]
11347,[Fe/H]
11348,[Fe/H]
11349,[Fe/H]
11350,[Fe/H]
11353,[M/H]
11354,[Fe/H]
11357,[Fe/H]
11360,[Fe/H]
11363,[Fe/H]
11364,[Fe/H]
11367,[Fe/H]
11368,[Fe/H]
11371,[Fe/H]
11372,[Fe/H]
11373,[Fe/H]
11374,[Fe/H]
11376,[Fe/H]
11380,[Fe/H]
11382,[M/H]
11383,[Fe/H]
11384,[Fe/H]
11387,[Fe/H]
11388,[Fe/H]
11391,[Fe/H]
11392,[Fe/H]
11393,[Fe/H]
11395,[Fe/H]
11396,[M/H]
11400,[Fe/H]
11401,[Fe/H]
11402,[Fe/H]
11404,[Fe/H]
11406,[Fe/H]
11410,[Fe/H]
11412,[Fe/H]
11414,[Fe/H]
11416,[Fe/H]
11417,[Fe/H]
11418,[M/H]
11419,[Fe/H]
11421,[Fe/H]
11422,[M/H]
11423,[Fe/H]
11424,[Fe/H]
11425,[Fe/H]
11427,[Fe/H]
11431,[Fe/H]
11432,[Fe/H]
11434,[Fe/H]
11435,[Fe/H]
11436,[Fe/H]
11437,[Fe/H]
11440,[Fe/H]
11442,[Fe/H]
11443,[Fe/H]
11448,[Fe/H]
11449,[Fe/H]
11450,[Fe/H]
11452,[Fe/H]
11453,[Fe/H]
11454,[Fe/H]
11457,[Fe/H]
11460,[Fe/H]
11464,[Fe/H]
11465,[Fe/H]
11466,[Fe/H]
11468,[Fe/H]
11469,[Fe/H]
11475,[Fe/H]
11477,[Fe/H]
11478,[Fe/H]
11479,[Fe/H]
11480,[Fe/H]
11481,[M/H]
11482,[Fe/H]
11483,[Fe/H]
11492,[Fe/H]
11493,[Fe/H]
11494,[M/H]
11496,[Fe/H]
11499,[Fe/H]
11500,[Fe/H]
11501,[Fe/H]
11503,[Fe/H]
11507,[Fe/H]
11508,[Fe/H]
11509,[M/H]
11510,[Fe/H]
11511,[Fe/H]
11512,[Fe/H]
11514,[Fe/H]
11517,[Fe/H]
11520,[Fe/H]
11522,[Fe/H]
11523,[Fe/H]
11524,[Fe/H]
11526,[Fe/H]
11527,[Fe/H]
11529,[Fe/H]
11530,[Fe/H]
11531,[Fe/H]
11532,[Fe/H]
11535,[Fe/H]
11538,[Fe/H]
11540,[Fe/H]
11543,[Fe/H]
11546,[Fe/H]
11547,[Fe/H]
11552,[Fe/H]
11555,[Fe/H]
11556,[Fe/H]
11560,[M/H]
11562,[Fe/H]
11563,[Fe/H]
11565,[Fe/H]
11568,[Fe/H]
11569,[Fe/H]
11570,[Fe/H]
11574,[Fe/H]
11575,[Fe/H]
11577,[Fe/H]
11580,[Fe/H]
11582,[Fe/H]
11584,[Fe/H]
11586,[Fe/H]
11587,[Fe/H]
11590,[M/H]
11591,[Fe/H]
11592,[Fe/H]
11593,[Fe/H]
11596,[Fe/H]
11597,[Fe/H]
11600,[Fe/H]
11604,[Fe/H]
11605,[Fe/H]
11606,[Fe/H]
11607,[Fe/H]
11608,[Fe/H]
11611,[Fe/H]
11613,[Fe/H]
11615,[Fe/H]
11617,[Fe/H]
11618,[Fe/H]
11623,[Fe/H]
11624,[Fe/H]
11626,[Fe/H]
11627,[Fe/H]
11628,[Fe/H]
11630,[Fe/H]
11634,[Fe/H]
11635,[Fe/H]
11636,[Fe/H]
11638,[M/H]
11639,[Fe/H]
11643,[Fe/H]
11644,[Fe/H]
11646,[Fe/H]
11647,[Fe/H]
11650,[Fe/H]
11651,[Fe/H]
11655,[Fe/H]
11656,[Fe/H]
11660,[Fe/H]
11662,[Fe/H]
11664,[Fe/H]
11665,[M/H]
11667,[Fe/H]
11668,[Fe/H]
11670,[Fe/H]
11671,[Fe/H]
11672,[M/H]
11673,[Fe/H]
11674,[Fe/H]
11675,[Fe/H]
11678,[Fe/H]
11679,[Fe/H]
11680,[Fe/H]
11681,[Fe/H]
11682,[Fe/H]
11683,[Fe/H]
11689,[Fe/H]
11690,[Fe/H]
11691,[Fe/H]
11692,[Fe/H]
11693,[Fe/H]
11695,[Fe/H]
11698,[Fe/H]
11699,[Fe/H]
11702,[Fe/H]
11703,[Fe/H]
11705,[Fe/H]
11706,[M/H]
11710,[Fe/H]
11713,[Fe/H]
11714,[Fe/H]
11715,[Fe/H]
11718,[Fe/H]
11720,[Fe/H]
11721,[Fe/H]
11722,[Fe/H]
11724,[Fe/H]
11725,[Fe/H]
11730,[Fe/H]
11732,[Fe/H]
11733,[Fe/H]
11734,[Fe/H]
11737,[M/H]
11741,[Fe/H]
11742,[Fe/H]
11744,[Fe/H]
11745,[Fe/H]
11746,[Fe/H]
11748,[Fe/H]
11749,[Fe/H]
11751,[Fe/H]
11754,[Fe/H]
11756,[M/H]
11757,[Fe/H]
11758,[Fe/H]
11760,[Fe/H]
11761,[Fe/H]
11764,[Fe/H]
11765,[Fe/H]
11766,[Fe/H]
11767,[Fe/H]
11772,[Fe/H]
11774,[Fe/H]
11777,[Fe/H]
11779,[Fe/H]
11780,[Fe/H]
11782,[Fe/H]
11784,[M/H]
11785,[Fe/H]
11786,[Fe/H]
11787,[M/H]
11788,[Fe/H]
11789,[Fe/H]
11794,[Fe/H]
11796,[Fe/H]
11797,[Fe/H]
11798,[Fe/H]
11800,[Fe/H]
11802,[Fe/H]
11804,[Fe/H]
11805,[Fe/H]
11807,[M/H]
11808,[Fe/H]
11811,[Fe/H]
11814,[Fe/H]
11817,[Fe/H]
11818,[Fe/H]
11820,[Fe/H]
11822,[Fe/H]
11823,[Fe/H]
11825,[Fe/H]
11828,[Fe/H]
11829,[Fe/H]
11832,[Fe/H]
11834,[Fe/H]
11836,[M/H]
11838,[Fe/H]
11839,[Fe/H]
11844,[Fe/H]
11846,[Fe/H]
11847,[Fe/H]
11850,[Fe/H]
11851,[Fe/H]
11852,[Fe/H]
11853,[Fe/H]
11854,[M/H]
11856,[Fe/H]
11857,[Fe/H]
11858,[Fe/H]
11859,[Fe/H]
11864,[Fe/H]
11866,[Fe/H]
11867,[Fe/H]
11869,[Fe/H]
11870,[Fe/H]
11872,[Fe/H]
11875,[Fe/H]
11876,[Fe/H]
11877,[M/H]
11880,[Fe/H]
11881,[Fe/H]
11882,[Fe/H]
11884,[Fe/H]
11886,[Fe/H]
11889,[Fe/H]
11890,[Fe/H]
11893,[Fe/H]
11896,[Fe/H]
11897,[Fe/H]
11898,[Fe/H]
11900,[Fe/H]
11902,[Fe/H]
11905,[Fe/H]
11906,[Fe/H]
11907,[Fe/H]
11908,[Fe/H]
11909,[Fe/H]
11910,[Fe/H]
11911,[Fe/H]
11914,[M/H]
11915,[Fe/H]
11917,[Fe/H]
11920,[Fe/H]
11922,[Fe/H]
11923,[Fe/H]
11924,[Fe/H]
11929,[Fe/H]
11930,[Fe/H]
11932,[Fe/H]
11935,[Fe/H]
11936,[Fe/H]
11938,[Fe/H]
11941,[Fe/H]
11943,[Fe/H]
11945,[Fe/H]
11951,[Fe/H]
11952,[Fe/H]
11953,[Fe/H]
11955,[Fe/H]
11957,[Fe/H]
11958,[Fe/H]
11959,[Fe/H]
11960,[Fe/H]
11961,[Fe/H]
11968,[Fe/H]
11969,[Fe/H]
11971,[Fe/H]
11974,[Fe/H]
11975,[Fe/H]
11979,[Fe/H]
11980,[M/H]
11981,[Fe/H]
11982,[Fe/H]
11984,[Fe/H]
11985,[Fe/H]
11987,[M/H]
11988,[Fe/H]
11989,[Fe/H]
11990,[Fe/H]
11991,[Fe/H]
11995,[Fe/H]
11996,[Fe/H]
11997,[Fe/H]
12000,[Fe/H]
12002,[Fe/H]
12003,[Fe/H]
12005,[Fe/H]
12006,[Fe/H]
12007,[Fe/H]
12012,[Fe/H]
12015,[M/H]
12016,[Fe/H]
12017,[Fe/H]
12019,[Fe/H]
12020,[Fe/H]
12023,[Fe/H]
12025,[Fe/H]
12026,[Fe/H]
12027,[Fe/H]
12030,[Fe/H]
12031,[Fe/H]
12032,[Fe/H]
12033,[Fe/H]
12034,[Fe/H]
12035,[Fe/H]
12037,[Fe/H]
12042,[Fe/H]
12044,[Fe/H]
12046,[Fe/H]
12047,[Fe/H]
12048,[Fe/H]
12052,[Fe/H]
12055,[Fe/H]
12057,[Fe/H]
12059,[Fe/H]
12060,[Fe/H]
12064,[Fe/H]
12065,[Fe/H]
12068,[M/H]
12069,[Fe/H]
12071,[Fe/H]
12074,[Fe/H]
12078,[Fe/H]
12079,[Fe/H]
12080,[Fe/H]
12081,[Fe/H]
12082,[Fe/H]
12084,[Fe/H]
12085,[Fe/H]
12089,[Fe/H]
12093,[Fe/H]
12096,[Fe/H]
12097,[Fe/H]
12098,[Fe/H]
12099,[Fe/H]
12100,[Fe/H]
12102,[Fe/H]
12103,[Fe/H]
12104,[Fe/H]
12105,[Fe/H]
12110,[Fe/H]
12111,[Fe/H]
12114,[M/H]
12115,[Fe/H]
12118,[Fe/H]
12119,[Fe/H]
12120,[Fe/H]
12121,[Fe/H]
12125,[Fe/H]
12126,[Fe/H]
12129,[Fe/H]
12130,[Fe/H]
12132,[Fe/H]
12133,[M/H]
12134,[Fe/H]
12135,[Fe/H]
12137,[Fe/H]
12138,[Fe/H]
12141,[Fe/H]
12142,[Fe/H]
12144,[Fe/H]
12146,[Fe/H]
12149,[Fe/H]
12150,[M/H]
12154,[Fe/H]
12156,[Fe/H]
12158,[Fe/H]
12159,[Fe/H]
12160,[Fe/H]
12161,[Fe/H]
12162,[Fe/H]
12164,[Fe/H]
12165,[Fe/H]
12168,[Fe/H]
12169,[Fe/H]
12170,[Fe/H]
12171,[Fe/H]
12173,[Fe/H]
12174,[Fe/H]
12176,[Fe/H]
12178,[Fe/H]
12179,[Fe/H]
12180,[Fe/H]
12181,[Fe/H]
12186,[Fe/H]
12189,[Fe/H]
12190,[Fe/H]
12191,[Fe/H]
12197,[Fe/H]
12198,[Fe/H]
12199,[Fe/H]
12201,[Fe/H]
12204,[Fe/H]
12205,[Fe/H]
12206,[Fe/H]
12208,[M/H]
12209,[Fe/H]
12210,[Fe/H]
12211,[Fe/H]
12212,[Fe/H]
12213,[Fe/H]
12216,[Fe/H]
12219,[Fe/H]
12225,[Fe/H]
12226,[Fe/H]
12227,[M/H]
12228,[Fe/H]
12230,[Fe/H]
12231,[Fe/H]
12232,[Fe/H]
12235,[Fe/H]
12236,[Fe/H]
12239,[Fe/H]
12240,[Fe/H]
12241,[Fe/H]
12243,[Fe/H]
12244,[M/H]
12247,[Fe/H]
12249,[Fe/H]
12251,[Fe/H]
12252,[M/H]
12254,[Fe/H]
12256,[Fe/H]
12257,[Fe/H]
12258,[Fe/H]
12259,[Fe/H]
12260,[Fe/H]
12262,[Fe/H]
12265,[Fe/H]
12270,[Fe/H]
12272,[Fe/H]
12273,[Fe/H]
12274,[Fe/H]
12275,[M/H]
12278,[Fe/H]
12280,[Fe/H]
12282,[Fe/H]
12284,[Fe/H]
12288,[Fe/H]
12289,[M/H]
12291,[Fe/H]
12294,[Fe/H]
12295,[M/H]
12296,[Fe/H]
12299,[Fe/H]
12302,[Fe/H]
12303,[Fe/H]
12304,[Fe/H]
12305,[Fe/H]
12306,[Fe/H]
12307,[M/H]
12308,[Fe/H]
12310,[Fe/H]
12312,[Fe/H]
12314,[Fe/H]
12319,[Fe/H]
12320,[Fe/H]
12322,[Fe/H]
12323,[Fe/H]
12324,[Fe/H]
12325,[Fe/H]
12333,[Fe/H]
12334,[Fe/H]
12335,[Fe/H]
12337,[Fe/H]
12338,[M/H]
12339,[Fe/H]
12341,[Fe/H]
12344,[Fe/H]
12346,[Fe/H]
12347,[Fe/H]
12349,[Fe/H]
12350,[Fe/H]
12351,[Fe/H]
12354,[Fe/H]
12356,[Fe/H]
12357,[Fe/H]
12359,[Fe/H]
12363,[Fe/H]
12364,[Fe/H]
12365,[M/H]
12367,[Fe/H]
12370,[Fe/H]
12371,[Fe/H]
12374,[Fe/H]
12377,[Fe/H]
12378,[Fe/H]
12379,[Fe/H]
12380,[Fe/H]
12381,[M/H]
12382,[Fe/H]
12385,[Fe/H]
12386,[Fe/H]
12388,[Fe/H]
12391,[Fe/H]
12392,[Fe/H]
12394,[Fe/H]
12395,[Fe/H]
12396,[Fe/H]
12397,[Fe/H]
12398,[Fe/H]
12403,[M/H]
12406,[Fe/H]
12411,[Fe/H]
12413,[Fe/H]
12416,[Fe/H]
12417,[Fe/H]
12418,[Fe/H]
12419,[Fe/H]
12422,[Fe/H]
12423,[Fe/H]
12424,[Fe/H]
12426,[Fe/H]
12428,[Fe/H]
12430,[Fe/H]
12431,[Fe/H]
12432,[Fe/H]
12433,[Fe/H]
12436,[Fe/H]
12437,[Fe/H]
12440,[Fe/H]
12441,[M/H]
12445,[Fe/H]
12446,[Fe/H]
12447,[Fe/H]
12448,[Fe/H]
12449,[Fe/H]
12451,[Fe/H]
12454,[Fe/H]
12459,[Fe/H]
12460,[Fe/H]
12461,[Fe/H]
12468,[Fe/H]
12469,[Fe/H]
12470,[Fe/H]
12472,[Fe/H]
12473,[Fe/H]
12474,[Fe/H]
12476,[Fe/H]
12477,[Fe/H]
12479,[M/H]
12480,[Fe/H]
12481,[Fe/H]
12482,[Fe/H]
12486,[Fe/H]
12488,[Fe/H]
12490,[Fe/H]
12491,[M/H]
12492,[Fe/H]
12493,[Fe/H]
12494,[Fe/H]
12496,[Fe/H]
12497,[Fe/H]
12500,[Fe/H]
12501,[Fe/H]
12502,[Fe/H]
12505,[Fe/H]
12507,[Fe/H]
12509,[M/H]
12510,[Fe/H]
12515,[Fe/H]
12516,[Fe/H]
12517,[Fe/H]
12518,[Fe/H]
12519,[M/H]
12522,[Fe/H]
12526,[Fe/H]
12527,[Fe/H]
12528,[Fe/H]
12529,[Fe/H]
12530,[Fe/H]
12533,[Fe/H]
12535,[M/H]
12536,[Fe/H]
12537,[Fe/H]
12540,[Fe/H]
12541,[Fe/H]
12543,[Fe/H]
12544,[Fe/H]
12546,[Fe/H]
12549,[Fe/H]
12551,[Fe/H]
12554,[Fe/H]
12558,[Fe/H]
12559,[Fe/H]
12562,[Fe/H]
12563,[Fe/H]
12565,[Fe/H]
12568,[Fe/H]
12569,[Fe/H]
12570,[Fe/H]
12572,[Fe/H]
12576,[Fe/H]
12577,[Fe/H]
12578,[Fe/H]
12580,[Fe/H]
12583,[Fe/H]
12585,[Fe/H]
12591,[Fe/H]
12593,[Fe/H]
12594,[Fe/H]
12598,[Fe/H]
12599,[Fe/H]
12600,[Fe/H]
12601,[Fe/H]
12602,[Fe/H]
12606,[Fe/H]
12607,[Fe/H]
12608,[Fe/H]
12610,[Fe/H]
12612,[Fe/H]
12614,[Fe/H]
12615,[M/H]
12616,[Fe/H]
12620,[Fe/H]
12621,[Fe/H]
12623,[Fe/H]
12624,[Fe/H]
12626,[Fe/H]
12628,[Fe/H]
12629,[Fe/H]
12631,[Fe/H]
12632,[Fe/H]
12634,[Fe/H]
12635,[Fe/H]
12640,[Fe/H]
12643,[Fe/H]
12646,[Fe/H]
12647,[Fe/H]
12648,[Fe/H]
12649,[M/H]
12651,[Fe/H]
12652,[Fe/H]
12653,[Fe/H]
12654,[Fe/H]
12657,[Fe/H]
12659,[Fe/H]
12660,[M/H]
12662,[Fe/H]
12665,[Fe/H]
12667,[Fe/H]
12669,[Fe/H]
12671,[Fe/H]
12673,[Fe/H]
12674,[Fe/H]
12675,[Fe/H]
12678,[M/H]
12679,[Fe/H]
12681,[Fe/H]
12682,[Fe/H]
12687,[Fe/H]
12688,[Fe/H]
12691,[Fe/H]
12692,[Fe/H]
12694,[Fe/H]
12695,[Fe/H]
12699,[Fe/H]
12701,[Fe/H]
12704,[Fe/H]
12706,[Fe/H]
12707,[Fe/H]
12709,[Fe/H]
12712,[Fe/H]
12714,[Fe/H]
12719,[Fe/H]
12720,[M/H]
12721,[Fe/H]
12722,[Fe/H]
12723,[Fe/H]
12726,[Fe/H]
12728,[Fe/H]
12730,[Fe/H]
12731,[Fe/H]
12734,[Fe/H]
12736,[Fe/H]
12738,[Fe/H]
12739,[Fe/H]
12742,[Fe/H]
12745,[Fe/H]
12746,[Fe/H]
12748,[Fe/H]
12751,[Fe/H]
12752,[Fe/H]
12754,[Fe/H]
12755,[Fe/H]
12756,[Fe/H]
12758,[M/H]
12760,[Fe/H]
12763,[Fe/H]
12766,[Fe/H]
12770,[Fe/H]
12773,[Fe/H]
12774,[Fe/H]
12775,[Fe/H]
12776,[Fe/H]
12777,[Fe/H]
12778,[Fe/H]
12779,[Fe/H]
12783,[Fe/H]
12784,[Fe/H]
12787,[M/H]
12790,[Fe/H]
12792,[Fe/H]
12793,[Fe/H]
12796,[Fe/H]
12799,[Fe/H]
12802,[Fe/H]
12804,[Fe/H]
12805,[Fe/H]
12807,[Fe/H]
12808,[Fe/H]
12809,[M/H]
12810,[Fe/H]
12811,[Fe/H]
12812,[Fe/H]
12813,[Fe/H]
12815,[Fe/H]
12821,[Fe/H]
12822,[M/H]
12823,[Fe/H]
12824,[Fe/H]
12826,[M/H]
12827,[Fe/H]
12832,[Fe/H]
12833,[Fe/H]
12834,[Fe/H]
12835,[Fe/H]
12837,[Fe/H]
12838,[Fe/H]
12841,[Fe/H]
12844,[Fe/H]
12847,[M/H]
12848,[Fe/H]
12849,[Fe/H]
12850,[Fe/H]
12851,[Fe/H]
12855,[Fe/H]
12857,[Fe/H]
12858,[Fe/H]
12859,[M/H]
12861,[Fe/H]
12863,[Fe/H]
12864,[Fe/H]
12865,[M/H]
12868,[Fe/H]
12870,[Fe/H]
12871,[Fe/H]
12873,[Fe/H]
12876,[Fe/H]
12877,[Fe/H]
12880,[Fe/H]
12881,[Fe/H]
12883,[Fe/H]
12886,[Fe/H]
12892,[Fe/H]
12893,[Fe/H]
12894,[Fe/H]
12896,[Fe/H]
12900,[Fe/H]
12902,[Fe/H]
12903,[Fe/H]
12906,[Fe/H]
12909,[Fe/H]
12910,[M/H]
12912,[Fe/H]
12913,[Fe/H]
12914,[Fe/H]
12917,[Fe/H]
12918,[Fe/H]
12919,[Fe/H]
12923,[Fe/H]
12924,[Fe/H]
12927,[Fe/H]
12932,[Fe/H]
12934,[Fe/H]
12935,[Fe/H]
12936,[Fe/H]
12937,[Fe/H]
12938,[Fe/H]
12941,[Fe/H]
12943,[Fe/H]
12944,[Fe/H]
12945,[Fe/H]
12949,[Fe/H]
12950,[Fe/H]
12951,[Fe/H]
12953,[Fe/H]
12954,[Fe/H]
12959,[M/H]
12960,[Fe/H]
12962,[Fe/H]
12966,[Fe/H]
12969,[M/H]
12970,[Fe/H]
12972,[Fe/H]
12973,[Fe/H]
12974,[Fe/H]
12975,[Fe/H]
12977,[M/H]
12979,[Fe/H]
12981,[Fe/H]
12982,[Fe/H]
12983,[Fe/H]
12984,[Fe/H]
12988,[Fe/H]
12989,[Fe/H]
12992,[Fe/H]
12994,[Fe/H]
12995,[Fe/H]
12998,[Fe/H]
13003,[Fe/H]
13004,[Fe/H]
13005,[Fe/H]
13008,[Fe/H]
13009,[Fe/H]
13012,[Fe/H]
13013,[M/H]
13017,[Fe/H]
13019,[Fe/H]
13021,[Fe/H]
13023,[Fe/H]
13024,[Fe/H]
13025,[Fe/H]
13034,[Fe/H]
13035,[Fe/H]
13038,[Fe/H]
13039,[Fe/H]
13042,[Fe/H]
13044,[Fe/H]
13048,[Fe/H]
13049,[Fe/H]
13050,[Fe/H]
13051,[M/H]
13053,[Fe/H]
13055,[Fe/H]
13057,[Fe/H]
13058,[Fe/H]
13060,[Fe/H]
13061,[Fe/H]
13062,[Fe/H]
13063,[Fe/H]
13064,[Fe/H]
13067,[M/H]
13072,[Fe/H]
13073,[Fe/H]
13074,[Fe/H]
13075,[Fe/H]
13076,[Fe/H]
13077,[Fe/H]
13082,[Fe/H]
13083,[Fe/H]
13084,[Fe/H]
13085,[Fe/H]
13087,[M/H]
13092,[Fe/H]
13093,[Fe/H]
13094,[Fe/H]
13095,[Fe/H]
13099,[Fe/H]
13100,[Fe/H]
13104,[Fe/H]
13105,[Fe/H]
13106,[M/H]
13107,[Fe/H]
13109,[Fe/H]
13110,[Fe/H]
13111,[Fe/H]
13113,[M/H]
13115,[Fe/H]
13117,[Fe/H]
13118,[Fe/H]
13119,[Fe/H]
13120,[Fe/H]
13121,[Fe/H]
13123,[Fe/H]
13127,[Fe/H]
13129,[Fe/H]
13131,[Fe/H]
13133,[Fe/H]
13134,[Fe/H]
13137,[Fe/H]
13138,[Fe/H]
13139,[Fe/H]
13141,[Fe/H]
13144,[Fe/H]
13145,[Fe/H]
13148,[Fe/H]
13149,[M/H]
13150,[Fe/H]
13152,[Fe/H]
13155,[Fe/H]
13156,[Fe/H]
13159,[Fe/H]
13162,[Fe/H]
13163,[Fe/H]
13164,[Fe/H]
13165,[Fe/H]
13168,[Fe/H]
13171,[Fe/H]
13174,[M/H]
13175,[Fe/H]
13178,[Fe/H]
13180,[Fe/H]
13181,[Fe/H]
