,st_age,st_lum
2942,1.6,2.453
2952,1.3,-1.046
2962,3.24,2.464
2968,0.015,0.583
2973,1.4,-0.495
2981,1.0,-0.59
2989,10.5,0.339
3008,6.76,-0.377
3023,7.0,-0.411
3035,5.4,0.36
3036,2.3,0.33
3037,2.0,0.286
3041,2.4,0.328
3053,2.7,1.053
3056,6.5,0.043
3084,6.0,0.18
3102,5.32,0.618
3104,5.25,0.7
3119,7.45,0.47
3122,1.0,1.84
3130,1.02,1.63
3140,1.2,0.19
3146,3.0,0.174
3180,1.77,0.06
3185,1.0,0.001
3186,3.0,0.037
3205,6.39,0.063
3215,1.0,0.033
3221,7.2,0.083
3246,6.4,-0.495
3251,1.0,-0.575
3254,10.0,-0.444
3274,1.0,-0.273
3287,2.7,0.991
3335,5.6,0.201
3341,7.3,0.065
3342,9.12,0.072
3347,8.4,0.255
3353,4.5,0.144
3356,8.36,0.212
3371,9.8,0.039
3377,10.36,0.037
3378,12.3,0.016
3388,8.2,0.034
3395,4.0,0.833
3405,6.45,-0.337
3423,2.9,0.602
3428,8.4,0.196
3449,4.51,0.66
3451,4.46,0.635
3456,0.69,1.898
3482,6.32,0.346
3501,1.0,-0.026
3502,2.32,0.022
3508,1.6,0.068
3517,3.12,0.477
3518,2.5,0.422
3541,7.0,-0.091
3548,2.3,1.13
3554,1.0,0.034
3560,1.1,0.06
3577,5.0,-0.092
3587,1.3,0.193
3612,7.12,0.107
3614,13.8,0.075
3660,0.3,-0.01
3661,2.0,0.013
3667,1.0,-0.033
3675,4.0,0.777
3688,2.41,0.33
3700,2.5,0.78
3702,3.05,0.91
3704,1.9,0.386
3712,2.6,0.48
3715,2.0,0.43
3718,2.22,0.44
3723,4.0,0.276
3726,4.28,0.35
3728,4.0,0.378
3730,4.9,1.982
3733,2.4,1.064
3736,2.34,1.14
3761,3.0,0.107
3765,12.0,1.173
3778,7.5,-0.326
3782,4.3,0.346
3792,8.0,-0.131
3800,12.48,-0.143
3806,4.92,-0.187
3818,1.1,1.581
3821,8.0,0.281
3859,4.28,0.66
3870,8.6,0.23
3876,2.4,0.697
3881,2.78,0.62
3886,1.98,0.61
3888,2.5,1.076
3900,1.6,3.015
3908,1.25,0.114
3921,7.57,0.53
3922,4.36,0.81
3927,4.59,0.82
3936,7.96,0.303
3944,8.0,0.251
3952,8.0,0.358
3966,7.51,0.24
3976,3.27,1.19
3979,3.3,0.508
3994,6.0,-0.602
3996,1.0,-0.688
4001,7.75,0.42
4003,8.6,0.362
4011,7.32,0.465
4016,7.0,0.399
4020,2.32,0.12
4025,1.1,0.061
4033,7.12,0.037
4050,13.4,-0.119
4054,6.5,-0.171
4057,9.58,-0.149
4071,11.0,-0.155
4077,1.76,0.73
4083,4.0,-0.509
4091,2.12,0.72
4100,5.31,1.669
4103,9.68,0.149
4125,9.0,0.246
4134,8.0,-0.034
4155,8.37,1.53
4156,6.7,1.52
4167,2.5,0.629
4176,2.8,0.662
4183,5.0,0.181
4190,6.7,0.204
4207,8.59,0.57
4215,7.56,-0.09
4220,7.0,-0.203
4225,5.7,0.415
4230,2.8,0.412
4232,3.46,0.39
4239,1.7,2.378
4252,2.65,0.66
4264,1.9,0.934
4279,4.3,-0.48
4290,6.88,-0.027
4309,4.4,0.685
4313,3.46,0.6
4334,6.99,0.38
4335,7.88,0.37
4337,1.0,0.245
4338,2.56,0.322
4389,2.8,0.973
4393,2.48,1.09
4410,1.8,1.079
4413,1.56,1.21
4422,2.0,-0.496
4429,6.7,-0.511
4447,3.0,0.2
4457,3.1,-0.034
4461,2.6,0.012
4465,2.76,1.117
4467,5.5,2.968
4477,3.4,0.49
4484,0.4,-0.429
4487,1.0,0.255
4489,3.3,2.13
4518,2.3,1.143
4519,2.49,1.12
4541,9.76,0.025
4549,11.0,0.324
4559,6.8,-0.48
4570,1.0,-0.523
4596,1.0,-0.68
4612,13.4,0.079
4635,6.7,0.053
4645,9.05,0.31
4648,2.0,0.297
4667,2.9,0.348
4672,8.7,-0.187
4674,7.0,-0.161
4675,13.9,-0.178
4680,2.56,-0.495
4696,1.0,-0.546
4703,7.81,-0.415
4712,9.3,-0.377
4717,2.18,1.06
4720,1.8,1.009
4739,8.5,0.329
4760,3.5,0.268
4763,1.6,0.26
4765,5.8,0.536
4766,3.3,0.572
4772,6.2,0.303
4776,6.7,2.515
4779,2.0,0.38
4784,2.0,0.385
4787,3.12,0.38
4810,3.5,0.574
4814,2.4,0.58
4816,2.56,0.626
4830,3.0,1.064
4833,1.23,1.67
4845,1.0,-0.028
4853,1.32,1.369
4856,1.7,0.971
4868,11.0,0.049
4878,3.5,0.288
4903,6.67,-0.509
4913,2.84,0.36
4929,3.08,1.21
4930,3.0,1.276
4949,7.1,1.25
4964,8.5,0.053
4965,1.36,-0.11
4977,4.7,-0.421
4978,7.1,-0.444
4994,13.5,-0.161
5018,2.0,0.2
5026,4.5,-0.529
5037,3.1,0.21
5041,3.0,0.23
5049,5.2,0.208
5066,3.5,0.248
5076,7.5,-0.027
5080,10.64,0.029
5089,12.0,-0.032
5104,5.0,1.108
5105,2.1,1.15
5126,1.0,0.243
5133,1.0,0.231
5138,6.0,1.188
5142,1.92,1.18
5152,4.0,0.378
5169,3.8,0.139
5184,2.7,0.638
5189,4.34,0.67
5204,5.3,0.066
5205,7.0,-0.41
5222,3.5,0.498
5234,7.16,0.387
5244,5.0,0.332
5247,5.8,0.35
5255,6.0,-0.452
5256,3.8,1.8
5266,3.1,-0.1
5268,1.0,-0.225
5289,4.0,0.042
5295,5.84,0.093
5308,7.6,0.276
5321,8.5,-0.452
5324,8.5,-0.469
5329,8.92,0.481
5330,8.9,0.425
5342,8.89,0.44
5352,11.0,-0.577
5353,12.46,-0.509
5359,11.0,-0.577
5361,12.46,-0.509
5378,5.69,0.42
5380,7.0,0.377
5381,4.75,0.48
5395,3.5,0.093
5417,1.0,0.231
5424,1.3,0.22
5426,4.9,0.712
5433,6.6,0.585
5440,3.65,0.603
5445,6.2,0.422
5465,8.8,-0.62
5479,6.0,0.055
5497,2.0,0.47
5500,4.12,0.61
5539,2.0,0.092
5552,6.0,0.391
5553,3.43,0.47
5554,4.9,0.4
5558,4.0,0.405
5562,2.4,1.75
5584,0.7,-0.443
5585,3.4,-0.412
5657,4.0,0.276
5665,2.3,0.473
5670,0.95,1.944
5683,5.0,-1.44
5688,1.0,-0.448
5691,3.0,-0.33
5703,1.31,0.668
5704,2.89,0.79
5705,2.84,0.838
5728,4.4,-0.056
5730,13.0,-0.449
5740,3.9,-0.449
5758,2.5,0.01
5778,0.025,0.342
5804,2.88,1.2
5807,1.8,1.36
5809,5.5,-0.181
5820,6.2,1.002
5840,3.5,-0.023
5847,4.0,0.45
5851,4.0,0.489
5874,3.89,1.1
5878,3.8,0.996
5886,3.0,0.517
5914,10.2,-0.27
5936,1.0,-0.391
5938,6.2,-0.33
5946,2.72,1.0
5950,2.03,1.13
5952,3.0,1.021
5956,4.3,0.305
5958,2.9,0.308
5964,3.23,0.58
5965,3.5,0.55
5970,3.63,0.64
5974,2.2,0.502
5986,1.88,1.149
5993,8.5,0.303
5994,8.5,0.303
6010,0.113,2.589
6021,8.2,-0.268
6031,3.0,-0.303
6053,13.0,-0.091
6062,7.0,-0.229
6065,1.0,-0.242
6068,5.65,-0.22
6070,2.0,-0.432
