,st_age,st_lum
42790,0.55,-1.836
42792,5.4,-1.851
42801,6.7,-0.824
42804,2.37,0.713
42816,2.43,0.816
42817,2.29,0.818
42819,3.78,0.812
42822,7.1,-1.095
42824,10.9,-1.213
42826,7.1,-1.244
42834,1.1,-2.461
42842,10.8,1.057
42845,1.79,0.547
42849,6.8,0.227
42851,10.0,-0.282
42853,16.1,-0.268
42856,11.0,-0.273
42861,7.2,-0.993
42864,7.4,-1.245
42868,7.3,0.033
42879,5.0,-1.792
42882,7.0,-1.83
42887,3.0,-2.329
42889,2.31,0.799
42892,7.8,-1.403
42897,2.0,-2.198
42901,1.7,0.768
42904,7.2,-1.288
42905,0.9,0.474
42912,1.28,0.394
42916,1.99,0.834
42929,7.9,-0.062
42942,1.5,-1.633
42952,0.83,-0.728
42961,4.4,-0.086
42964,7.5,-0.377
42968,9.3,-1.733
42975,6.7,-2.26
42977,7.8,-1.31
42985,1.95,0.76
42998,7.5,-0.71
43009,0.035,0.127
43010,0.039,0.104
43022,6.8,0.253
43024,5.2,0.317
43026,5.9,-0.56
43035,2.2,0.431
43038,1.5,-1.292
43044,3.4,-0.137
43057,0.05,-0.359
43062,0.09,-0.369
43066,6.14,0.535
43079,0.5,-3.28
43084,5.89,1.35
43091,1.35,1.38
43095,10.1,1.91
43099,0.017,-0.339
43102,8.0,-3.137
43111,3.7,-0.359
43124,3.1,-0.023
43162,0.9,-0.204
43164,0.6,-0.228
43167,2.9,0.642
43168,2.9,0.656
43195,0.003,-1.95
43197,0.007,-1.09
43200,0.007,-1.02
43209,0.023,-0.03
43213,0.02,-0.02
43218,0.013,0.039
43221,0.002,0.08
43231,0.225,-3.14
43236,3.4,0.441
43271,4.0,0.413
43295,3.4,-0.879
43363,1.5,0.519
43413,3.2,-0.597
43480,3.6,-0.139
43511,5.6,-0.418
43610,3.25,0.083
43617,2.2,0.436
43631,0.43,1.215
43641,1.57,0.428
43697,6.4,-0.043
43713,4.4,0.274
43726,1.0,-0.562
43730,5.6,-0.328
44124,1.2,-0.022
44190,3.7,0.724
44224,1.86,0.654
44235,6.2,-0.129
44425,4.1,-1.63
44427,11.0,-0.676
44429,11.0,-0.644
44459,7.9,-0.155
44492,14.8,-0.06
44510,0.014,-0.185
44514,3.8,-2.659
44530,8.0,-0.284
44558,7.84,0.207
44570,1.85,2.9
44589,2.95,2.73
44611,2.6,-0.456
44644,4.7,-0.622
44687,2.82,1.85
44695,2.65,1.722
44704,0.03,1.83
44717,3.42,1.084
44720,3.35,1.797
44730,2.8,1.23
44732,0.65,2.039
44776,11.04,0.262
44780,12.9,0.232
44798,10.2,0.26
44830,1.64,0.525
44876,3.12,0.561
