,st_mass,st_lum
4380,0.45,-1.487
4384,0.47,-1.52
4389,1.52,0.973
4393,1.51,1.09
4401,0.94,-0.103
4410,1.84,1.079
4413,1.78,1.21
4414,1.89,1.176
4420,0.78,-0.511
4422,0.9,-0.496
4424,0.81,-0.456
4426,0.77,-0.444
4429,0.78,-0.511
4431,0.78,-0.511
4436,0.92,0.288
4439,1.04,0.361
4447,1.2,0.2
4449,1.06,0.25
4457,1.0,-0.034
4461,1.03,0.012
4462,1.04,-0.019
4465,1.35,1.117
4467,1.84,2.968
4471,1.08,0.693
4477,1.29,0.49
4481,0.79,-0.561
4482,0.85,-0.412
4484,0.86,-0.429
4487,1.2,0.255
4489,1.22,2.13
4494,1.15,0.359
4503,1.0,0.13
4514,1.04,0.127
4518,1.6,1.143
4519,1.48,1.12
4534,1.02,0.056
4536,1.07,0.615
4541,0.92,0.025
4543,0.87,-0.006
4547,1.02,0.015
4549,0.83,0.324
4552,0.84,-0.461
4555,0.19,-2.319
4558,0.76,-0.469
4559,0.81,-0.48
4562,0.85,-0.484
4570,0.85,-0.523
4573,0.81,-0.465
4585,0.79,-0.638
4594,0.76,-0.67
4596,0.77,-0.68
4612,0.98,0.079
4618,0.21,-2.329
4620,0.98,0.066
4635,0.96,0.053
4645,1.02,0.31
4647,1.01,0.289
4648,1.1,0.297
4649,1.0,0.311
4655,1.1,0.791
4658,0.91,0.43
4666,1.07,0.331
4667,1.14,0.348
4669,0.95,-0.168
4672,0.81,-0.187
4674,0.92,-0.161
4675,0.82,-0.178
4680,0.8,-0.495
4681,0.82,-0.493
4696,0.8,-0.546
4697,0.75,-0.47
4700,0.85,0.34
4703,0.8,-0.415
4711,0.85,-0.394
4712,0.82,-0.377
4713,0.8,-0.415
4717,1.48,1.06
4720,1.68,1.009
4725,1.06,0.147
4737,1.03,0.333
4739,1.05,0.329
4748,1.07,0.342
4754,1.15,0.256
4756,0.37,-1.824
4760,1.2,0.268
4763,1.1,0.26
4765,1.26,0.536
4766,1.29,0.572
4772,1.12,0.303
4773,1.08,0.275
4774,1.11,0.537
4776,1.1,2.515
4779,1.33,0.38
4784,1.3,0.385
4787,1.28,0.38
4788,1.18,0.428
4795,1.16,0.239
4801,1.14,0.599
4802,1.37,0.566
4810,1.3,0.574
4814,1.34,0.58
4816,1.37,0.626
4818,0.88,-0.141
4819,0.96,-0.152
4823,0.88,-0.143
4830,1.44,1.064
4833,1.99,1.67
4838,1.03,0.033
4840,1.04,0.023
4845,1.1,-0.028
4853,1.91,1.369
4856,1.72,0.971
4858,1.26,1.005
4859,0.94,-0.225
4867,1.0,0.048
4868,0.9,0.049
4874,1.09,0.19
4878,1.2,0.288
4887,1.02,0.076
4889,1.03,0.098
4899,0.74,-0.516
4900,0.74,-0.495
4902,0.83,-0.447
4903,0.74,-0.509
4905,0.55,-1.243
4908,1.16,0.653
4910,1.24,0.428
4913,1.22,0.36
4922,1.0,0.649
4929,1.43,1.21
4930,1.56,1.276
4934,1.36,0.456
4937,0.78,-0.509
4938,0.8,-0.367
4946,0.95,0.091
4949,1.0,1.25
4953,1.04,0.107
4954,0.7,-0.31
4956,0.76,-0.309
4961,0.9,-0.288
4964,0.95,0.053
4965,1.05,-0.11
4969,1.02,-0.031
4970,0.94,-0.112
4977,0.82,-0.421
4978,0.8,-0.444
4979,0.77,-0.444
4980,0.85,-0.44
4986,0.7,-0.183
4990,0.94,-0.184
4994,0.85,-0.161
5012,1.18,0.199
5014,1.17,0.242
5018,1.1,0.2
5026,0.78,-0.529
5029,0.78,-0.552
5035,1.25,1.09
5037,1.12,0.21
5038,1.0,0.252
5041,1.1,0.23
5042,1.15,0.188
5049,1.06,0.208
5051,1.13,0.231
5066,1.26,0.248
5074,1.06,0.053
5076,1.0,-0.027
5079,0.96,0.0
5080,0.99,0.029
5089,0.92,-0.032
5090,0.91,-0.015
5102,1.68,1.149
5104,1.29,1.108
5105,1.58,1.15
5108,1.33,1.035
5111,1.19,0.364
5112,1.0,0.13
5113,1.03,0.07
5117,0.64,-1.052
5122,0.54,-1.046
5124,1.28,0.235
5126,1.27,0.243
5128,1.22,0.279
5133,1.25,0.231
5138,1.15,1.188
5142,1.6,1.18
5143,1.21,0.405
5144,0.15,-2.596
5151,1.1,0.427
5152,1.2,0.378
5159,1.04,0.285
5162,1.05,0.089
5169,1.07,0.139
5170,1.04,0.115
5176,0.79,-0.211
5177,0.96,-0.261
5180,0.87,-0.244
5183,0.67,-0.943
5184,1.22,0.638
5187,1.11,0.736
5189,1.31,0.67
5191,0.79,-0.522
5192,0.74,-0.523
5197,0.7,-0.558
5202,1.06,0.06
5204,1.09,0.066
5205,0.87,-0.41
5209,0.86,-0.353
5213,1.1,0.551
5222,1.3,0.498
5229,1.33,0.54
5234,1.12,0.387
5236,1.06,0.365
5244,1.2,0.332
5247,1.06,0.35
5250,0.85,-0.422
5252,0.79,-0.398
5255,0.82,-0.452
5256,1.36,1.8
5266,0.9,-0.1
5267,0.89,-0.134
5268,1.0,-0.225
5273,0.94,-0.151
5274,0.85,-0.209
5276,0.8,-0.208
5281,0.95,-0.174
5285,0.98,0.098
5289,1.1,0.042
5295,1.11,0.093
5307,1.14,0.3
5308,1.02,0.276
5313,1.08,0.292
5316,0.8,-0.463
5321,0.85,-0.452
5324,0.88,-0.469
5328,0.81,0.443
5329,1.07,0.481
5330,1.05,0.425
5333,0.92,0.454
5342,1.05,0.44
5352,0.81,-0.577
5353,0.79,-0.509
5357,0.78,-0.577
5359,0.81,-0.577
5360,0.8,-0.539
5361,0.79,-0.509
5364,1.46,1.795
5366,1.0,0.62
5369,0.97,-0.032
5377,1.04,0.446
5378,1.18,0.42
5380,1.2,0.377
5381,1.19,0.48
5383,1.23,0.489
5384,1.24,0.524
5391,1.01,-0.005
5395,1.04,0.093
5403,1.08,0.173
5404,1.09,0.496
5410,1.08,0.356
5417,1.2,0.231
5418,1.3,0.21
5423,1.27,0.286
5424,1.25,0.22
5426,1.21,0.712
5432,1.06,0.593
5433,1.28,0.585
5440,1.35,0.603
5444,0.97,0.462
5445,1.19,0.422
5449,1.07,0.929
5454,1.03,0.507
5463,0.48,-0.666
5465,0.74,-0.62
5466,0.76,-0.636
5474,0.97,0.095
5479,1.0,0.055
5486,0.31,-1.947
5488,1.04,0.114
5494,1.23,0.491
5497,1.34,0.47
5500,1.31,0.61
5504,1.07,0.577
5507,0.59,-0.886
5510,0.64,-0.874
5513,0.68,-1.174
5514,1.57,1.274
5519,0.85,-0.474
5522,1.17,0.209
5525,1.1,0.131
5537,1.01,0.139
5539,1.05,0.092
5547,1.05,0.448
5552,1.25,0.391
5553,1.21,0.47
5554,1.14,0.4
5558,1.2,0.405
5560,1.15,0.421
5562,1.5,1.75
5566,0.82,-0.523
5573,0.78,-0.636
5575,0.75,-0.636
5579,0.67,-0.625
5584,0.84,-0.443
5585,0.85,-0.412
5586,0.85,-0.439
5592,1.1,0.458
5601,0.64,-1.152
5602,0.58,-1.154
5604,0.52,-1.097
5607,0.58,-1.161
5608,1.47,1.85
5615,0.82,1.55
5621,1.69,2.49
5625,1.03,0.276
5643,1.13,0.376
5654,0.86,-0.388
5657,1.09,0.276
5659,0.17,-2.456
5662,1.2,0.3
5665,1.25,0.473
5666,1.25,0.471
5670,2.12,1.944
5672,1.08,0.041
5675,0.46,-1.387
5677,0.43,-1.398
5683,0.44,-1.44
5684,1.12,0.393
5687,1.14,0.289
5688,0.9,-0.448
5691,0.93,-0.33
5694,0.88,-0.298
5696,0.81,-0.334
5701,1.46,0.684
5703,1.43,0.668
5704,1.46,0.79
5705,1.48,0.838
5722,1.01,0.043
5728,0.94,-0.056
5730,0.8,-0.449
5738,0.81,-0.419
5740,0.8,-0.449
5741,0.72,-0.474
5743,1.06,0.528
5748,1.24,0.456
5751,0.98,0.005
5758,1.1,0.01
5760,0.99,0.017
5767,1.08,0.103
5769,1.06,0.34
5771,1.0,0.361
5772,0.53,-1.393
5776,1.13,0.27
5784,0.68,-0.696
5789,0.48,-1.473
5790,0.43,-1.398
5792,0.5,-1.658
5794,0.45,-1.472
5804,1.41,1.2
5807,1.74,1.36
5808,0.98,-0.173
5809,0.86,-0.181
5814,0.97,-0.137
5815,0.9,-0.14
5819,1.36,1.067
5820,1.17,1.002
5823,1.91,1.768
5827,2.54,1.85
5829,0.75,-0.846
5835,0.98,0.083
5840,1.1,-0.023
5847,1.22,0.45
5851,1.28,0.489
5857,1.06,0.458
5861,0.94,-0.149
5867,0.96,-0.19
5874,1.31,1.1
5878,1.35,0.996
5886,1.23,0.517
5890,1.12,0.602
5892,0.96,0.078
5893,0.96,0.079
5896,1.07,0.106
5901,0.91,-0.263
5914,0.85,-0.27
5926,1.03,0.063
5936,0.9,-0.391
5938,0.7,-0.33
5939,0.83,-0.409
5941,0.69,-0.334
5942,0.96,0.006
5946,1.52,1.0
5950,1.6,1.13
5952,1.48,1.021
5955,1.16,0.311
5956,1.13,0.305
5958,1.16,0.308
5960,1.08,0.616
5961,0.17,-2.44
5964,1.29,0.58
5965,1.35,0.55
5970,1.38,0.64
5974,1.31,0.502
5980,1.29,0.517
5982,1.37,0.538
5986,1.78,1.149
5987,1.47,1.183
5993,1.07,0.303
5994,1.07,0.303
5995,1.04,0.339
6005,1.11,0.534
6008,1.69,1.742
6010,1.14,2.589
6021,0.88,-0.268
6023,0.9,-0.274
6031,0.9,-0.303
6048,0.99,-0.111
6053,0.75,-0.091
6062,1.0,-0.229
6065,1.0,-0.242
6068,0.94,-0.22
6069,0.92,-0.154
6070,0.85,-0.432
6078,0.85,-0.416
6088,1.1,0.411
6102,1.41,0.74
6108,0.98,0.834
6112,0.49,-1.485
6119,1.36,0.659
6121,1.29,0.58
6122,1.19,0.68
6127,1.1,0.186
6128,1.15,0.164
6139,1.09,0.16
6141,1.07,0.215
6143,1.1,0.168
6150,0.59,-0.44
6151,0.79,-0.398
6153,0.88,-0.398
6154,0.67,-0.409
6155,0.97,-0.315
6156,0.85,-0.284
6163,0.7,-0.639
6167,0.74,-0.569
6169,0.77,-0.642
6173,0.79,-0.585
6175,0.77,-0.639
6182,2.0,1.664
6191,0.76,-0.509
6194,1.16,0.291
6201,0.7,-0.187
6203,0.95,-0.293
6204,0.84,-0.202
6210,0.53,-1.356
6214,1.05,0.035
6215,0.99,0.086
6216,1.0,0.035
6221,0.93,-0.273
6230,1.15,0.206
6236,0.99,0.293
6243,0.9,-0.188
6254,0.83,-0.147
6258,1.0,-0.1
6261,1.01,-0.009
6263,0.97,-0.046
6267,1.03,-0.028
6272,0.95,-0.154
6274,0.89,-0.155
6275,0.91,-0.149
6278,1.01,0.01
6280,0.93,0.029
6281,0.9,-0.017
6287,0.83,-0.004
6288,0.8,-0.009
6294,1.72,1.149
6299,1.71,1.14
6301,0.96,-0.137
6302,0.96,-0.036
6307,1.32,0.5
6312,1.14,0.572
6315,1.03,0.307
6320,1.0,0.26
6322,1.03,0.054
6329,1.03,0.053
6331,1.06,0.069
6333,1.01,0.083
6340,0.98,0.141
6350,0.82,-0.196
6352,0.82,-0.254
6355,0.95,-0.196
6359,0.82,-0.244
6362,1.0,-0.222
6363,0.92,-0.2
6365,0.91,-0.188
6369,1.15,0.316
6373,0.95,-0.137
6378,0.9,-0.241
6381,0.52,-1.389
6392,1.0,0.066
6393,0.99,0.033
6396,1.0,0.043
6398,0.6,-1.219
6399,1.39,1.118
6400,1.74,1.19
6404,1.81,1.18
6407,2.19,1.389
6411,1.81,1.417
6413,0.91,2.27
6422,1.05,2.93
6429,1.04,0.634
6430,1.28,0.584
6435,1.22,0.51
6441,0.63,-0.77
6442,0.69,-0.789
6456,0.99,-0.022
6466,1.25,0.342
6467,1.09,0.376
6480,1.11,0.175
6484,1.05,0.119
6492,1.04,0.143
6499,1.1,0.158
6505,0.8,-0.243
6507,0.93,-0.206
6510,0.8,-0.244
6511,1.18,0.297
6515,1.11,0.36
6517,1.2,0.308
6524,1.17,0.352
6528,1.2,0.281
6533,1.13,0.28
6534,1.23,0.263
6536,1.27,0.92
6540,1.56,0.663
6541,1.51,0.908
6548,1.11,0.526
6550,1.29,0.43
6554,1.01,1.61
6558,1.73,1.243
6560,1.55,1.179
6563,1.72,1.15
6564,1.29,1.155
6570,1.11,0.017
6577,1.89,1.158
6578,2.13,1.193
6579,1.03,0.491
6581,1.91,1.595
6583,1.03,1.23
6589,1.43,1.76
6596,1.7,2.394
6600,1.77,0.968
6604,1.5,0.8
6609,1.2,0.97
6613,1.03,0.055
6614,1.09,0.048
6618,1.16,0.433
6620,1.19,0.442
6624,2.59,1.612
6629,2.1,1.59
6633,1.08,0.228
6638,0.99,-0.117
6639,0.99,-0.123
6641,0.99,-0.125
6645,1.01,-0.112
6649,1.0,-0.108
6653,0.8,-0.668
6656,0.8,-0.592
6658,0.66,-0.597
6662,0.78,-0.535
6667,0.83,-0.26
6671,0.95,-0.255
6672,0.93,-0.098
6674,0.94,-0.115
6675,0.98,-0.098
6680,0.99,-0.136
6685,1.64,1.248
6686,0.79,0.05
6690,1.04,0.102
6691,0.75,0.061
6703,0.9,-0.176
6704,0.87,-0.151
6705,0.92,-0.149
6708,1.0,-0.15
6713,0.98,2.22
6715,1.1,2.24
6722,1.0,0.071
6726,1.01,0.109
6731,1.01,0.096
6738,1.26,0.462
6739,1.36,0.54
6741,1.02,-0.018
6743,0.96,0.053
6748,1.04,0.078
6749,1.12,0.068
6755,2.49,3.224
6759,1.06,0.22
6771,1.68,1.47
6772,0.9,-0.239
6776,0.93,-0.216
6781,0.86,-0.22
6783,0.82,-0.225
6788,0.85,-0.201
6791,0.9,-0.275
6792,1.06,-0.003
6803,0.98,-0.02
6807,1.01,0.011
6809,1.0,-0.009
6813,1.1,-0.054
6818,0.93,-0.131
6819,0.89,-0.155
6823,0.89,-0.157
6835,1.06,0.336
6843,1.0,0.293
6848,1.09,0.374
6849,1.02,0.146
6853,1.01,0.103
6855,1.05,-0.161
6856,0.97,-0.132
6860,0.89,-0.106
6863,0.93,-0.179
6869,1.13,0.262
6879,1.1,0.321
6881,0.98,0.337
6887,1.01,0.33
6890,1.31,0.68
6893,1.23,0.522
6897,1.16,0.54
6899,0.7,-0.744
6902,0.75,-0.76
6906,1.24,0.482
6909,1.27,0.49
6916,1.1,0.401
6921,1.2,0.435
6929,1.12,0.101
6932,1.05,0.083
6934,1.05,0.078
6936,1.05,0.26
6937,1.04,0.253
6947,1.24,0.283
6948,0.14,-2.661
6952,1.19,0.334
6956,1.2,0.29
6957,1.12,0.31
6958,1.01,-0.075
6961,1.41,0.756
6964,1.26,0.77
6970,1.09,0.494
6971,1.26,0.46
6982,1.15,0.188
6986,1.0,0.256
6991,1.17,1.38
6992,1.0,1.47
6995,0.93,-0.152
6999,0.93,-0.26
7001,1.2,0.309
7003,1.12,0.321
7006,1.28,1.79
7008,0.83,-0.409
7009,0.83,-0.434
7014,0.81,-0.438
7019,0.87,-0.406
7022,0.62,-1.007
7023,1.08,0.03
7028,1.03,0.098
7037,0.97,-0.002
7047,0.97,-0.058
7051,1.18,0.24
7052,1.07,0.238
7057,1.06,0.4
7062,0.88,-0.367
7064,1.11,0.508
7069,0.9,-0.109
7070,1.03,-0.076
7072,0.99,-0.077
7075,1.76,1.78
7078,2.1,1.857
7079,1.07,1.78
7086,4.3,3.261
7090,1.06,1.143
7097,1.15,0.18
7098,1.2,0.152
7099,1.13,0.215
7101,1.15,0.17
7104,1.08,0.194
7106,1.04,0.161
7118,0.74,-0.509
7119,0.72,-0.506
7120,0.8,-0.492
7129,0.9,-0.06
7130,0.95,-0.102
7132,1.0,-0.104
7133,1.05,-0.141
7137,0.95,-0.07
7145,1.18,0.328
7146,0.76,-0.367
7148,0.87,-0.366
7155,0.76,-0.372
7159,1.12,0.376
7171,0.81,-0.49
7172,1.21,0.38
7175,1.08,0.476
7176,1.2,0.37
7183,1.09,0.079
7184,1.02,0.072
7186,1.06,0.025
7194,1.42,0.66
7203,1.26,0.613
7210,1.28,0.53
7216,1.66,1.56
7227,0.82,-0.498
7230,0.81,-0.463
7235,0.8,-0.471
7237,0.8,-0.456
7241,1.04,0.031
7244,1.12,0.5
7246,0.94,0.497
7249,1.26,0.57
7253,1.05,0.393
7262,1.09,0.131
7263,1.0,0.13
7264,1.03,0.09
7265,1.05,0.113
7268,0.99,0.454
7269,1.12,0.356
7271,1.16,0.425
7272,1.32,0.433
7292,1.21,0.796
7309,1.24,0.375
7313,0.94,-0.102
7314,0.84,-0.143
7315,1.0,-0.137
7316,0.84,-0.143
7327,0.99,0.408
7331,1.03,0.382
7338,1.03,0.02
7340,1.1,0.02
7343,1.02,0.098
7344,1.1,0.091
7352,0.7,-0.387
7354,0.79,-0.398
7356,0.77,-0.403
7357,0.84,-0.395
7361,0.9,-0.449
7362,0.94,-0.194
7364,1.1,0.206
7365,1.04,0.207
7367,1.08,0.068
7368,1.11,0.098
7370,1.08,0.086
7372,1.04,-0.008
7373,1.0,0.041
7376,1.0,0.528
7377,1.2,0.516
7387,1.77,0.821
7390,1.58,1.13
7392,1.67,1.19
7400,1.2,2.28
7409,0.87,-0.316
7411,0.83,-0.31
7415,1.01,0.478
7419,0.88,-0.244
7420,1.39,0.95
7426,1.02,1.104
7431,0.91,2.86
7435,1.16,0.53
7439,1.02,0.564
7442,1.27,0.57
7446,0.89,0.14
7447,1.06,0.138
7449,0.94,0.15
7453,0.99,0.17
7460,0.96,1.47
7462,1.06,0.234
7465,2.83,1.849
7467,2.4,1.602
7472,0.85,-0.455
7474,0.8,-0.444
7478,0.77,-0.45
7480,0.86,-0.434
7487,0.78,0.3
7490,1.3,1.049
7494,1.52,1.2
7497,0.97,-0.014
7499,1.0,-0.066
7505,1.02,-0.007
7507,0.92,-0.22
7510,0.93,-0.191
7517,1.0,-0.29
7521,0.9,-0.175
7526,1.76,1.81
7528,1.0,-0.119
7529,0.83,-0.379
7531,0.85,-0.475
7537,0.95,-0.111
7552,0.83,-0.469
7558,1.72,1.188
7564,0.59,-0.886
7567,0.67,-0.884
7568,0.96,-0.081
7572,1.04,-0.084
7581,2.1,1.67
7583,0.63,-1.132
7584,0.5,-1.155
7588,2.42,1.87
7593,0.9,-0.321
7595,0.37,-1.772
7596,0.98,-0.079
7600,0.77,-0.576
7603,1.39,1.14
7604,0.8,-0.473
7607,0.83,-0.468
7613,0.62,-1.003
7614,0.54,-1.046
7619,0.9,-0.26
7625,0.85,-0.32
7627,1.0,-0.018
7628,0.98,-0.047
7629,1.01,-0.01
7635,0.86,-0.252
7643,0.67,-0.729
7645,1.38,0.636
7649,0.55,-1.0
7651,0.63,-1.033
7654,0.78,-0.507
7658,0.78,-0.62
7659,0.61,-1.057
7660,0.57,-0.959
7665,1.61,0.748
7668,1.26,0.4
7677,0.54,-1.046
7678,0.63,-1.01
7681,0.52,-1.097
7686,0.58,-1.162
7688,0.78,-0.561
7689,0.78,-0.959
7693,0.56,-1.21
7694,0.5,-1.155
7698,0.78,-0.658
7699,0.69,-0.682
7700,0.65,-0.845
7701,0.6,-0.854
7704,1.04,1.05
7707,0.73,0.19
7711,0.71,-0.624
7713,0.69,-0.638
7715,0.63,-0.796
7716,0.68,-0.74
7720,1.02,0.117
7725,1.54,1.63
7731,0.75,-0.495
7747,0.83,-0.52
7755,0.7,-0.671
7756,0.78,-0.678
7761,0.92,-0.19
7766,2.3,1.269
7771,2.5,1.65
7774,0.7,-0.818
7775,0.66,-0.768
7778,1.22,0.243
7779,1.22,0.243
7782,1.03,0.251
7783,2.41,1.617
7792,1.3,1.207
7793,1.63,1.244
7794,1.39,1.261
7796,1.63,1.244
7799,0.54,-1.046
7805,0.61,-1.063
7809,0.68,-0.658
7811,0.73,-0.663
7815,0.64,-0.895
7817,1.74,1.215
7821,1.28,1.02
7825,0.99,-0.06
7827,0.95,-0.102
7835,0.99,-0.088
7840,2.19,1.368
7850,0.48,-1.549
7851,0.42,-1.523
7862,0.91,-0.222
7863,0.93,-0.245
7868,0.94,-0.08
7870,1.04,-0.07
7876,0.79,-0.562
7878,0.73,-0.538
7885,1.03,0.016
7887,1.63,0.049
7893,0.68,-0.803
7895,1.17,1.405
7899,0.46,-1.514
7900,0.42,-1.523
7905,1.3,0.89
7906,0.95,-0.222
7908,0.97,-0.176
7912,1.1,0.138
7915,0.71,-0.758
7919,0.94,-0.072
7921,1.0,-0.075
7924,0.86,-0.331
7925,0.93,-0.325
7928,1.93,1.204
7933,1.9,1.125
7934,1.85,1.142
7936,0.29,-1.995
7938,0.29,-2.019
7939,0.32,-2.0
7944,1.1,0.072
7962,1.08,0.055
7973,1.38,0.527
7984,0.68,-0.811
7991,1.07,0.395
7999,1.15,0.25
8001,1.17,0.24
8011,1.15,0.371
8020,1.24,0.372
8022,1.61,0.733
8024,1.5,0.692
8029,0.66,-0.924
8030,0.69,-0.914
8044,0.97,-0.101
8051,1.18,0.25
8055,1.15,0.271
8066,0.8,-0.595
8071,0.75,-0.552
8073,0.74,-0.609
8077,0.77,-0.657
8082,0.5,-1.428
8086,0.51,-1.434
8097,0.94,-0.189
8103,1.11,0.577
8113,0.96,0.405
8120,0.91,-0.289
8134,0.81,-0.567
8137,0.88,0.279
8138,1.1,0.219
8144,1.01,0.009
8145,1.0,0.13
8151,0.86,-0.445
8153,0.81,-0.395
8165,1.03,-0.145
8174,0.68,-0.734
8182,0.51,-1.354
8185,0.53,-1.357
8188,0.78,-0.526
8196,0.71,-0.685
8203,1.01,0.123
8224,0.74,-0.745
8225,0.64,-1.102
8227,0.6,-1.147
8236,0.32,-1.91
8237,0.6,-1.131
8240,0.61,-1.143
8252,0.4,-1.659
8257,0.39,-1.641
8260,0.67,-0.878
8274,0.84,-0.254
8279,0.7,-0.766
8280,0.34,-1.828
8289,1.0,-0.1
8292,0.69,-0.776
8302,0.86,-0.448
8310,1.19,0.943
8311,0.46,-1.479
8314,0.51,-1.444
8315,0.46,-1.402
8316,0.71,-0.785
8317,0.74,-0.788
8318,0.74,-0.777
8321,0.66,-0.762
8322,0.69,-0.767
8325,0.46,-1.571
8328,0.91,-0.288
8336,0.88,-0.28
8344,0.63,-1.031
8351,1.02,-0.003
8353,1.0,-0.049
8356,0.71,-0.75
8360,0.7,-0.721
8366,0.36,-1.824
8369,0.31,-1.915
8370,0.36,-1.824
8375,0.58,-1.292
8377,0.57,-1.259
8378,0.64,-0.945
8381,0.65,-0.996
8382,0.58,-1.167
8383,0.58,-1.218
8385,0.59,-1.31
8391,0.81,-0.421
8394,0.46,-1.585
8395,0.41,-1.662
8397,0.44,-1.553
8398,0.46,-1.47
8399,0.7,-0.774
8406,0.65,-1.06
8407,0.61,-1.077
8409,0.51,-1.367
8411,0.53,-1.268
8412,0.67,-1.018
8414,0.63,-1.046
8416,0.54,-1.229
8419,0.6,-1.05
8425,0.68,-0.798
8429,0.93,-0.195
8433,0.94,-0.157
8437,0.97,-0.289
8441,0.73,-0.69
8447,1.01,-0.121
8453,0.72,-0.61
8457,0.78,-0.529
8464,1.09,0.609
8465,0.87,-0.355
8472,1.12,0.462
8479,1.34,0.436
8482,1.16,0.44
8485,0.91,-0.15
8494,0.94,-0.151
8501,0.63,-0.91
8507,1.07,0.084
8520,0.98,-0.202
8525,0.98,-0.06
8529,0.66,-0.773
8538,1.08,0.494
8540,0.93,-0.116
8545,1.08,0.49
8547,1.07,-0.067
8552,0.85,-0.523
8557,0.44,-1.591
8564,0.5,-1.597
8572,0.93,-0.439
8585,0.98,-0.013
8593,0.86,-0.408
8594,0.88,-0.392
8601,0.95,-0.132
8611,0.89,-0.399
8621,1.05,-0.08
8626,1.03,0.059
8638,0.93,-0.196
8647,1.07,0.211
8651,0.96,-0.219
8667,0.92,-0.292
8676,0.99,-0.068
8682,0.83,-0.345
8687,0.87,-0.36
8693,0.98,-0.076
8704,1.2,0.363
8706,1.03,-0.012
8715,1.12,0.679
8719,1.0,-0.114
8724,0.88,-0.401
8733,0.72,-0.721
8734,0.71,-0.733
8740,0.83,-0.429
8745,0.91,-0.253
8749,0.94,-0.194
8755,0.84,-0.475
8761,1.08,0.268
8764,1.05,0.214
8768,0.85,-0.427
8770,0.98,-0.156
8775,0.97,-0.209
8779,0.75,-0.58
8787,0.63,-0.985
8789,0.94,-0.227
8796,0.88,-0.375
8802,0.65,-0.876
8809,1.05,0.257
8811,1.13,0.213
8816,1.02,0.001
8822,0.71,-0.709
8827,0.7,-0.721
8831,1.11,0.272
8835,1.02,0.031
8838,1.02,0.18
8843,0.6,-1.113
8853,1.03,-0.004
8858,1.0,-0.019
8864,1.15,0.149
8868,1.05,0.0
8875,1.01,-0.217
8878,0.96,0.433
8881,0.9,-0.246
8884,0.96,-0.146
8890,0.71,-0.849
8891,0.89,-0.383
8900,1.12,0.339
8905,0.96,-0.059
8907,1.19,0.238
8909,1.04,0.216
8910,1.1,0.231
8912,0.78,-0.574
8915,0.8,-0.523
8917,1.2,0.338
8919,1.26,0.371
8926,0.4,-1.796
8927,0.23,-2.086
8929,1.12,0.158
8938,1.0,0.029
8940,0.58,-1.276
8941,0.56,-1.208
8944,0.89,-0.441
8947,0.35,-1.808
8948,1.06,0.446
8955,1.04,-0.097
8957,1.11,0.193
8960,0.97,-0.141
8962,0.64,-0.833
8966,0.96,-0.171
8969,0.98,0.366
8973,0.27,-2.097
8975,0.29,-2.076
8976,0.26,-2.088
8978,0.82,-0.404
8980,0.49,-1.415
8983,0.83,-0.402
8989,0.92,-0.072
8992,0.69,-0.765
8995,0.67,-0.72
8997,0.5,-1.381
8999,1.03,0.272
9005,1.09,0.179
9007,0.56,-1.31
9013,0.51,-1.356
9015,1.32,0.697
9018,1.27,0.346
9022,1.09,0.328
9023,0.96,0.384
9025,0.93,-0.24
9027,0.88,-0.26
9031,0.47,-1.535
9032,0.47,-1.481
9037,0.94,-0.18
9045,0.58,-1.213
9046,0.69,-0.823
9047,0.68,-0.755
9052,0.84,-0.429
9060,1.18,0.468
9065,0.89,-0.27
9072,1.06,0.18
9085,0.75,-0.518
9093,0.98,-0.05
9097,0.93,-0.302
9106,0.84,-0.353
9119,0.84,-0.509
9129,0.77,-0.593
9141,0.79,-0.405
9149,1.01,-0.052
9159,0.98,0.399
9164,0.94,-0.205
9167,0.32,-1.94
9178,0.98,0.168
9182,0.71,-0.569
9190,0.92,-0.172
9199,0.8,-0.432
9202,0.63,-1.013
9203,0.64,-0.983
9204,0.87,-0.424
9209,0.64,-1.046
9211,0.63,-1.015
9214,1.02,-0.006
9215,0.52,-1.49
9218,0.33,-1.93
9219,0.52,-1.38
9221,0.72,-0.229
9230,0.86,-0.427
9232,0.94,-0.295
9234,0.65,-1.008
9236,1.19,0.504
9241,0.22,-2.106
9243,0.97,-0.156
9245,0.93,-0.166
9248,1.03,0.091
9252,0.96,-0.153
9254,1.0,0.096
9260,0.71,-0.662
9263,0.55,-1.19
9274,0.62,-1.15
9279,0.55,-1.231
9281,0.88,-0.128
9283,0.98,-0.112
9285,0.9,-0.256
9288,0.92,-0.27
9294,0.92,-0.11
9299,0.13,-2.345
9302,0.17,-2.387
9304,0.17,-2.394
9307,0.34,-1.83
9309,0.32,-1.871
9312,0.55,-1.277
9316,0.91,-0.217
9331,0.9,-0.296
9332,0.2,-2.293
9333,0.25,-2.125
9336,0.58,-1.254
9340,0.6,-1.069
9343,0.53,-1.339
9346,0.51,-1.375
9350,0.27,-2.048
9353,0.62,-0.975
9355,0.91,-0.303
9357,0.9,-0.325
9361,0.56,-0.824
9362,0.35,-1.044
9364,0.31,-0.83
9368,1.22,0.477
9372,1.04,0.059
9375,0.26,-2.065
9379,1.04,0.165
9385,1.24,0.514
9390,1.22,0.395
9392,0.91,-0.345
9400,1.08,0.25
9403,0.71,-0.836
9409,0.75,-0.652
9412,1.28,0.471
9425,1.23,0.484
