,st_mass,st_lum
1134,0.51,-1.538
1137,0.11,-2.969
1140,0.34,-1.857
1144,0.36,-1.824
1145,0.13,-2.809
1147,0.12,-2.804
1148,0.34,-1.699
1149,0.35,-1.761
1155,0.34,-1.798
1158,0.45,-1.699
1159,0.45,-1.543
1163,0.42,-1.523
1164,0.46,-1.539
1166,0.45,-1.541
1167,0.45,-1.53
1168,0.25,-2.086
1171,0.27,-2.062
1172,0.31,-1.963
1173,0.31,-1.919
1175,0.31,-1.937
1176,0.43,-1.573
1179,0.4,-1.523
1182,0.43,-1.571
1183,0.57,-1.205
1184,0.63,-1.12
1187,0.5,-1.155
1188,0.18,-2.41
1189,0.18,-2.395
1190,0.45,-1.398
1191,0.52,-1.356
1193,0.5,-1.387
1196,0.39,-1.658
1199,0.39,-1.699
1202,0.39,-1.71
1224,0.54,-1.341
1227,0.59,-0.886
1230,0.65,-0.924
1233,0.54,-1.319
1234,0.64,-0.863
1236,0.36,-1.768
1239,0.36,-1.699
1241,0.35,-1.959
1245,0.41,-1.706
1246,0.4,-1.743
1250,0.42,-1.523
1251,0.47,-1.475
1253,0.48,-1.469
1256,0.48,-1.699
1267,0.44,-1.62
1275,0.45,-1.585
1280,0.4,-1.523
1281,0.42,-1.633
1284,0.47,-1.523
1285,0.42,-1.523
1286,0.41,-1.523
1289,0.45,-1.612
1292,0.33,-1.916
1293,0.34,-2.0
1295,0.31,-1.932
1298,0.32,-1.917
1300,0.31,-1.939
1303,1.22,0.332
1316,1.12,0.338
1327,1.29,0.36
1336,0.51,-1.367
1341,0.45,-1.398
1343,0.5,-1.371
1345,0.44,-1.398
1349,0.51,-1.373
1352,0.52,-1.377
1357,0.33,-2.0
1360,0.31,-1.885
1364,0.31,-1.886
1365,0.31,-1.886
1368,0.32,-1.788
1369,0.34,-2.0
1370,0.3,-1.894
1373,0.51,-1.361
1376,0.54,-1.365
1378,0.46,-1.301
1379,0.51,-1.359
1388,0.33,-1.863
1391,0.59,-0.886
1394,0.33,-1.854
1400,0.35,-1.77
1401,0.35,-1.796
1403,0.35,-1.699
1407,0.29,-2.031
1411,0.63,-1.079
1413,0.56,-0.959
1418,0.27,-2.699
1420,0.31,-2.0
1421,0.27,-2.056
1425,0.49,-1.222
1426,0.55,-1.251
1428,0.55,-1.253
1437,0.41,-1.672
1439,0.38,-1.699
1443,0.27,-2.019
1444,0.58,-1.173
1445,0.57,-1.217
1446,0.51,-1.155
1450,0.53,-1.291
1452,0.46,-1.301
1454,0.58,-1.206
1460,0.58,-1.195
1461,0.5,-1.155
1462,0.41,-1.585
1464,0.4,-1.523
1466,0.42,-1.576
1471,0.41,-1.523
1477,0.45,-1.585
1488,0.49,-1.553
1489,0.45,-1.59
1490,0.46,-1.583
1491,0.42,-1.523
1498,0.8,-0.377
1502,0.88,-0.389
1513,0.32,-1.907
1514,0.37,-1.914
1520,0.34,-1.699
1522,0.33,-1.886
1523,0.34,-1.893
1525,0.49,-1.434
1529,0.54,-1.384
1531,0.44,-1.398
1537,0.39,-1.755
1541,0.3,-2.0
1543,0.58,-0.921
1551,0.15,-2.566
1553,0.15,-2.595
1559,0.55,-1.0
1560,0.6,-1.052
1564,0.57,-1.207
1566,0.5,-1.155
1567,0.59,-1.171
1568,0.59,-1.2
1569,0.48,-1.222
1573,0.66,-0.948
1581,1.68,0.727
1583,1.95,0.984
1591,0.69,-0.546
1593,0.9,-0.42
1594,0.9,-0.42
1596,0.45,-1.602
1598,0.93,-0.159
1602,1.02,0.057
1611,0.55,-1.255
1613,0.56,-1.222
1614,0.45,-1.398
1616,0.52,-1.306
1621,0.2,-2.38
1622,0.47,-1.301
1623,0.54,-1.341
1626,0.44,-1.493
1628,0.43,-1.523
1631,0.42,-1.553
1632,0.43,-1.53
1633,0.41,-1.523
1636,0.24,-2.131
1637,0.24,-2.138
1638,0.24,-2.071
1640,1.12,0.18
1641,1.12,0.18
1646,1.13,0.17
1647,1.13,0.225
1650,1.21,0.46
1659,0.81,-0.585
1660,0.77,-0.567
1680,0.74,-0.68
